Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000235123.3	DSCAM-AS1	antisense	-11.05160182	6.99499497	0	0	0.009559702	-1	8234	10503	8945	4	7	3	5	3	1	5	5	4		
ENSG00000255248.4	RP11-166D19.1	sense_overlapping	11.34384362	5.500394643	2.28E-256	1.86E-254	0.011047272	1	0	0	1	605	1016	978	991	885	771	558	789	819		
ENSG00000231298.4	LINC00704	lincRNA	8.852631868	5.448855772	4.89E-244	3.58E-242	0.010147899	1	2	3	1	603	766	954	858	647	610	782	943	944		
ENSG00000227051.5	C14orf132	lincRNA	-10.20214601	4.20518735	2.55E-243	1.85E-241	0.010804453	-1	1057	1434	1350	1	0	0	1	1	0	0	2	0		
ENSG00000203499.8	FAM83H-AS1	lincRNA	-10.3430445	4.843888024	2.23E-233	1.48E-231	0.015101536	-1	1383	2291	2491	1	3	1	1	0	2	1	0	2		
ENSG00000261116.1	RP3-523K23.2	sense_overlapping	-10.26361985	4.764470268	5.22E-230	3.31E-228	0.014895275	-1	1802	1998	1872	0	5	0	0	2	1	2	4	2		
ENSG00000237187.6	NR2F1-AS1	antisense	8.109073267	4.503004856	2.24E-211	1.19E-209	0.009471134	1	1	2	4	338	546	479	540	490	422	255	349	301		
ENSG00000272620.1	AFAP1-AS1	antisense	8.968375686	4.724782225	6.71E-184	2.67E-182	0.010460066	1	1	1	1	412	503	645	400	393	417	404	652	513		
ENSG00000259974.2	LINC00261	lincRNA	12.1951352	4.881111507	5.72E-178	2.15E-176	0.013305995	1	0	0	0	473	842	693	566	448	445	354	523	521		
ENSG00000130600.13	H19	processed_transcript	-9.291449056	4.937808216	2.53E-175	9.38E-174	0.022458566	-1	1408	3135	2081	1	1	5	2	2	3	3	6	2		
ENSG00000269728.1	RP11-145M9.4	lincRNA	4.195670819	5.243292505	9.12E-151	2.69E-149	0.009130162	1	42	53	47	545	738	889	672	601	574	529	779	769		
ENSG00000249550.4	LINC01234	lincRNA	7.196930346	3.582745617	2.14E-141	5.75E-140	0.008260338	1	2	3	1	139	204	215	265	222	183	199	298	240		
ENSG00000232774.5	FLJ22447	lincRNA	6.207631508	3.682658161	2.68E-133	6.73E-132	0.011885397	1	4	7	5	186	197	236	340	273	248	162	219	227		
ENSG00000224184.3	AC096559.1	lincRNA	11.01941729	3.091535582	9.01E-131	2.21E-129	0.009592795	1	0	0	0	131	184	184	245	230	171	77	104	81		
ENSG00000231131.4	LINC01468	lincRNA	-11.81157033	2.986798839	1.28E-129	3.13E-128	0.016972858	-1	480	507	572	0	0	0	0	0	0	0	2	1		
ENSG00000256151.1	RP11-76C10.5	lincRNA	7.029507689	3.424768226	5.52E-128	1.32E-126	0.008868434	1	3	1	2	179	212	277	208	203	183	144	199	162		
