Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000162511.7	LAPTM5	protein_coding	9.694483512	6.218040861	0	0	0.006311418	1	0	4	4	1066	1473	1629	1861	1595	1485	827	1293	931		
ENSG00000079739.13	PGM1	protein_coding	5.818597057	6.984185682	0	0	0.006784654	1	55	66	76	1605	2193	2353	2965	2661	2275	1875	2619	1844		
ENSG00000116729.11	WLS	protein_coding	6.74656259	6.160098957	0	0	0.007536936	1	24	13	13	1124	1775	1651	1413	1256	1184	918	1344	1024		
ENSG00000117519.13	CNN3	protein_coding	9.665719819	8.773605003	0	0	0.006329953	1	5	23	14	6761	10219	9989	9306	7865	7152	5513	8042	6658		
ENSG00000143061.15	IGSF3	protein_coding	-7.998746496	5.770416212	0	0	0.009893021	-1	2988	4347	4384	17	4	17	14	11	7	10	12	13		
ENSG00000271601.3	LIX1L	protein_coding	6.658021749	5.695986555	0	0	0.006589104	1	12	14	13	837	1125	1184	1045	920	853	676	950	856		
ENSG00000197956.7	S100A6	protein_coding	7.033266219	11.20470596	0	0	0.013274415	1	419	841	611	38577	60391	55038	65466	54477	51099	18563	26062	15461		
ENSG00000196154.9	S100A4	protein_coding	8.755476739	8.203973741	0	0	0.010371594	1	19	28	25	4652	8244	6329	8609	7080	6499	1955	2872	2061		
ENSG00000189334.6	S100A14	protein_coding	-11.01713665	5.868257283	0	0	0.009989898	-1	3108	5147	4493	1	4	1	1	2	1	2	2	1		
ENSG00000183853.15	KIRREL	protein_coding	9.821314203	6.362436377	0	0	0.007821428	1	0	2	4	1446	1932	2121	1496	1232	1375	1127	1642	1120		
ENSG00000135842.14	FAM129A	protein_coding	7.133418245	7.046309137	0	0	0.007018061	1	16	27	28	2432	3268	3845	2370	2398	2272	1351	2095	1662		
ENSG00000162909.15	CAPN2	protein_coding	4.452372993	9.533943413	0	0	0.005085727	1	682	946	919	13292	18030	20294	14114	12915	12311	7954	11663	9199		
ENSG00000117020.14	AKT3	protein_coding	7.826494383	6.530079492	0	0	0.008101965	1	6	4	20	1304	1723	1928	1857	1524	1505	1299	1986	1900		
ENSG00000196208.11	GREB1	protein_coding	-7.836275588	6.693533797	0	0	0.010832414	-1	6448	9084	6767	17	21	15	24	26	19	14	24	13		
ENSG00000162981.13	FAM84A	protein_coding	-11.13966619	5.108265548	0	0	0.009832449	-1	2029	2746	2580	2	1	0	1	1	0	1	2	0		
ENSG00000163171.7	CDC42EP3	protein_coding	8.193750873	7.495568885	0	0	0.006562155	1	18	14	15	3015	3763	4543	3605	3140	3094	2200	3235	2845		
ENSG00000119888.8	EPCAM	protein_coding	-6.269459533	6.833782852	0	0	0.009120319	-1	7316	8274	8044	62	78	105	79	69	71	74	122	110		
ENSG00000071967.9	CYBRD1	protein_coding	7.384952389	6.887638775	0	0	0.006843474	1	19	24	12	1921	2915	2722	2445	2037	2078	1477	2024	1700		
ENSG00000091409.12	ITGA6	protein_coding	5.273685999	9.044696329	0	0	0.006934637	1	312	376	385	8847	10937	12698	10253	9578	9562	6155	8869	8241		
ENSG00000018510.10	AGPS	protein_coding	10.7487104	7.257728502	0	0	0.008477991	1	0	2	4	2143	2834	3249	2849	2491	2471	2252	3235	3320		
ENSG00000188042.6	ARL4C	protein_coding	4.686412331	6.88458071	0	0	0.005865637	1	90	132	141	2059	2689	2899	2365	2099	2120	1277	2001	1564		
ENSG00000196639.6	HRH1	protein_coding	9.27025797	5.721906772	0	0	0.006910094	1	2	3	1	798	1122	1166	1070	868	875	770	1149	818		
ENSG00000144642.18	RBMS3	protein_coding	10.69965697	5.782882734	0	0	0.007897298	1	0	0	2	892	1178	1260	1092	866	910	717	1082	1008		
ENSG00000163513.15	TGFBR2	protein_coding	5.194231655	7.724220896	0	0	0.007499934	1	106	175	178	2978	4766	4126	4317	3868	3625	2763	4356	3344		
ENSG00000163814.5	CDCP1	protein_coding	10.74941777	7.523145532	0	0	0.008697882	1	0	4	5	3128	4626	3989	4135	3514	3783	1857	2984	2032		
ENSG00000163430.7	FSTL1	protein_coding	8.451962128	7.655017511	0	0	0.006141146	1	17	9	14	3111	4066	4382	3501	3259	3249	3090	4492	3584		
