Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000162511.7	LAPTM5	protein_coding	8.99056376	6.218040861	0	0	0.006311418	1	0	4	4	1066	1473	1629	1861	1595	1485	827	1293	931		
ENSG00000079739.13	PGM1	protein_coding	5.501302094	6.984185682	0	0	0.006784654	1	55	66	76	1605	2193	2353	2965	2661	2275	1875	2619	1844		
ENSG00000117525.11	F3	protein_coding	5.848903234	8.084321451	0	0	0.008428107	1	122	171	186	3634	4014	5410	3874	3407	3653	5384	7390	6673		
ENSG00000117519.13	CNN3	protein_coding	9.399321349	8.773605003	0	0	0.006329953	1	5	23	14	6761	10219	9989	9306	7865	7152	5513	8042	6658		
ENSG00000143061.15	IGSF3	protein_coding	-7.869616924	5.770416212	0	0	0.009893021	-1	2988	4347	4384	17	4	17	14	11	7	10	12	13		
ENSG00000189334.6	S100A14	protein_coding	-10.71921161	5.868257283	0	0	0.009989898	-1	3108	5147	4493	1	4	1	1	2	1	2	2	1		
ENSG00000183853.15	KIRREL	protein_coding	9.734940268	6.362436377	0	0	0.007821428	1	0	2	4	1446	1932	2121	1496	1232	1375	1127	1642	1120		
ENSG00000135842.14	FAM129A	protein_coding	6.654968471	7.046309137	0	0	0.007018061	1	16	27	28	2432	3268	3845	2370	2398	2272	1351	2095	1662		
ENSG00000162909.15	CAPN2	protein_coding	3.99644123	9.533943413	0	0	0.005085727	1	682	946	919	13292	18030	20294	14114	12915	12311	7954	11663	9199		
ENSG00000117020.14	AKT3	protein_coding	7.910042942	6.530079492	0	0	0.008101965	1	6	4	20	1304	1723	1928	1857	1524	1505	1299	1986	1900		
ENSG00000196208.11	GREB1	protein_coding	-8.277507651	6.693533797	0	0	0.010832414	-1	6448	9084	6767	17	21	15	24	26	19	14	24	13		
ENSG00000162981.13	FAM84A	protein_coding	-10.62444556	5.108265548	0	0	0.009832449	-1	2029	2746	2580	2	1	0	1	1	0	1	2	0		
ENSG00000163171.7	CDC42EP3	protein_coding	7.941039499	7.495568885	0	0	0.006562155	1	18	14	15	3015	3763	4543	3605	3140	3094	2200	3235	2845		
ENSG00000119888.8	EPCAM	protein_coding	-5.795250965	6.833782852	0	0	0.009120319	-1	7316	8274	8044	62	78	105	79	69	71	74	122	110		
ENSG00000071967.9	CYBRD1	protein_coding	7.051788326	6.887638775	0	0	0.006843474	1	19	24	12	1921	2915	2722	2445	2037	2078	1477	2024	1700		
ENSG00000091409.12	ITGA6	protein_coding	4.930717941	9.044696329	0	0	0.006934637	1	312	376	385	8847	10937	12698	10253	9578	9562	6155	8869	8241		
ENSG00000018510.10	AGPS	protein_coding	10.9220241	7.257728502	0	0	0.008477991	1	0	2	4	2143	2834	3249	2849	2491	2471	2252	3235	3320		
ENSG00000168497.4	SDPR	protein_coding	11.13464472	5.93830746	0	0	0.009215772	1	0	0	2	893	1225	1248	1049	818	881	1052	1371	1427		
ENSG00000196639.6	HRH1	protein_coding	9.225291963	5.721906772	0	0	0.006910094	1	2	3	1	798	1122	1166	1070	868	875	770	1149	818		
ENSG00000163814.5	CDCP1	protein_coding	9.997672065	7.523145532	0	0	0.008697882	1	0	4	5	3128	4626	3989	4135	3514	3783	1857	2984	2032		
ENSG00000163430.7	FSTL1	protein_coding	8.601295899	7.655017511	0	0	0.006141146	1	17	9	14	3111	4066	4382	3501	3259	3249	3090	4492	3584		
ENSG00000169908.8	TM4SF1	protein_coding	8.961576001	8.591531722	0	0	0.00820383	1	12	23	21	5253	9269	8538	7722	6617	5821	5475	8058	6369		
ENSG00000163661.3	PTX3	protein_coding	10.6346347	5.620703625	0	0	0.007707518	1	1	1	1	418	591	532	883	833	780	1015	1588	1284		
ENSG00000196542.6	SPTSSB	protein_coding	-8.689472534	9.214438514	0	0	0.011135649	-1	38395	47366	43709	26	66	59	40	41	31	60	70	92		
ENSG00000145246.11	ATP10D	protein_coding	6.275530128	6.235997861	0	0	0.006479953	1	15	24	18	1246	1733	1761	1639	1359	1402	870	1203	1066		
ENSG00000163453.9	IGFBP7	protein_coding	9.276170779	7.967547051	0	0	0.007624945	1	5	9	6	4679	7249	6945	5142	4468	3833	2715	3492	2705		
ENSG00000124882.3	EREG	protein_coding	6.795667652	6.166839961	0	0	0.008625157	1	26	22	26	476	803	738	1236	1256	1081	1541	2401	1963		
ENSG00000163297.14	ANTXR2	protein_coding	8.742676142	8.154345036	0	0	0.007083088	1	11	22	15	4210	6073	6030	5318	4963	5018	3911	5624	5109		
ENSG00000145287.8	PLAC8	protein_coding	7.000782026	5.949537497	0	0	0.007104939	1	6	13	19	925	1104	1332	1181	1049	969	960	1318	1186		
ENSG00000145362.14	ANK2	protein_coding	8.768953852	5.935921629	0	0	0.007677601	1	3	4	4	916	1234	1404	1010	907	982	927	1519	1114		
ENSG00000180801.12	ARSJ	protein_coding	6.109167471	6.765684449	0	0	0.006494439	1	43	63	58	1124	1596	1907	1803	1550	1486	2233	3087	2686		
ENSG00000145431.8	PDGFC	protein_coding	8.011606515	7.30495444	0	0	0.006407489	1	13	20	13	2557	3341	3819	2829	2374	2387	2249	3275	2954		
ENSG00000134363.9	FST	protein_coding	7.576072117	5.959569397	0	0	0.008706975	1	11	16	9	828	1184	1408	657	547	594	1429	2083	1425		
ENSG00000181104.6	F2R	protein_coding	5.924698995	6.647189691	0	0	0.006120754	1	30	48	45	1583	2152	2239	1879	1566	1551	1465	1998	1815		
ENSG00000164251.4	F2RL1	protein_coding	4.906853462	9.268739364	0	0	0.005103508	1	369	534	512	9338	11940	12795	13235	11392	10429	8282	11921	9796		
ENSG00000135074.13	ADAM19	protein_coding	6.489269665	6.258814236	0	0	0.007491832	1	12	27	27	1057	1414	1397	1510	1354	1422	1179	1794	1256		
ENSG00000111846.13	GCNT2	protein_coding	8.073618633	6.738671262	0	0	0.006370834	1	11	12	9	1420	1888	2155	2181	1733	1764	1658	2416	2118		
ENSG00000276410.1	HIST1H2BB	protein_coding	7.617558259	8.240333298	0	0	0.008682077	1	35	45	32	3916	4665	5116	7517	6471	5388	4589	6786	4361		
ENSG00000273802.1	HIST1H2BG	protein_coding	-10.4197806	6.511583723	0	0	0.011944433	-1	4513	8465	7213	3	3	6	2	1	4	1	6	3		
