Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000117519.13	CNN3	protein_coding	4427.467572	10.26765283	8844.667491	861.4108438	9.750557675	0	0
ENSG00000197956.7	S100A6	protein_coding	31345.22992	475.563755	62214.89609	130.8234604	7.031477471	0	0
ENSG00000163814.5	CDCP1	protein_coding	2090.346174	2.118137186	4178.574211	1972.759007	10.94599901	0	0
ENSG00000169908.8	TM4SF1	protein_coding	3671.036313	14.20750599	7327.86512	515.7742059	9.010595815	0	0
ENSG00000163453.9	IGFBP7	protein_coding	2445.315175	5.127350389	4885.502999	952.8318973	9.8960779	0	0
ENSG00000163297.14	ANTXR2	protein_coding	2806.704759	12.21782854	5601.191689	458.444123	8.840602093	0	0
ENSG00000276410.1	HIST1H2BB	protein_coding	3531.367028	29.35085868	7033.383197	239.6312583	7.9046723	0	0
ENSG00000069122.16	GPR116	protein_coding	2741.432824	4.693036147	5478.172611	1167.298192	10.18895744	0	0
ENSG00000272398.3	CD24	protein_coding	8667.641804	17269.4571	65.82650855	0.00381173	-8.035338335	0	0
ENSG00000091831.19	ESR1	protein_coding	3622.802141	7242.605093	2.999190057	0.000414104	-11.23772005	0	0
ENSG00000006468.11	ETV1	protein_coding	2028.092061	1.954277862	4054.229844	2074.54115	11.01857656	0	0
ENSG00000135046.11	ANXA1	protein_coding	6816.222695	51.52169784	13580.92369	263.5961985	8.042185754	0	0
ENSG00000026025.11	VIM	protein_coding	24351.03046	57.80380879	48644.25711	841.5406895	9.716889219	0	0
ENSG00000148677.6	ANKRD1	protein_coding	4387.606121	23.65546537	8751.556776	369.9591886	8.531222321	0	0
ENSG00000197142.8	ACSL5	protein_coding	1721.440397	2.450541384	3440.430253	1403.947011	10.45527277	0	0
ENSG00000151892.12	GFRA1	protein_coding	10460.62769	20896.62308	24.63230131	0.001178769	-9.728502684	0	0
ENSG00000134954.12	ETS1	protein_coding	1262.855496	0.460863933	2525.250128	5479.383273	12.41979781	4.68627128910892e-312	0.00E+00
ENSG00000134531.7	EMP1	protein_coding	3752.690463	8.925146173	7496.45578	839.9252668	9.714117158	0	0
ENSG00000111716.10	LDHB	protein_coding	8633.039008	12.0358104	17254.04221	1433.558824	10.48538539	0	0
ENSG00000060982.12	BCAT1	protein_coding	5577.118285	47.12579068	11107.11078	235.6907039	7.880751047	0	0
ENSG00000139318.7	DUSP6	protein_coding	5505.324206	65.68507872	10944.96333	166.6278483	7.380485726	0	0
ENSG00000039068.16	CDH1	protein_coding	6287.84732	12540.67609	35.01855569	0.002792398	-8.48427983	0	0
ENSG00000167601.9	AXL	protein_coding	8657.080725	11.33560242	17302.82585	1526.414319	10.5759309	0	0
