Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000225383.4	SFTA1P	lincRNA	491.991539	163.3598728	820.6232052	5.023407471	2.328666303	6.46E-41	7.47E-37
ENSG00000279338.1	RP1-309I22.2	sense_overlapping	91.42866445	138.1121703	44.74515864	0.323976942	-1.626036955	3.08E-12	1.83E-09
ENSG00000224184.3	AC096559.1	lincRNA	165.5515409	234.5530634	96.55001851	0.411634012	-1.280565902	9.70E-11	3.30E-08
ENSG00000253161.3	RP11-150O12.1	lincRNA	77.80202243	112.2933086	43.31073626	0.385692939	-1.374475359	1.99E-08	3.86E-06
ENSG00000272565.1	RP11-485G4.2	lincRNA	146.7022886	94.74102448	198.6635527	2.096911594	1.068266039	5.35E-08	8.91E-06
ENSG00000257027.1	RP11-705C15.3	sense_intronic	99.0477502	131.2376272	66.85787324	0.509441345	-0.973012046	6.44E-06	0.000526591
ENSG00000237187.6	NR2F1-AS1	antisense	431.2410135	528.6149706	333.8670565	0.631588349	-0.662943537	3.75E-05	0.002231796
ENSG00000258929.4	RP11-58E21.3	lincRNA	54.10873534	74.34223165	33.87523903	0.455666157	-1.13395087	5.43E-05	0.003034703
ENSG00000269834.3	CTD-3018O17.3	processed_transcript	35.07036786	50.60358196	19.53715376	0.386082427	-1.373019204	5.51E-05	0.003062055
ENSG00000232803.1	SLCO4A1-AS1	antisense	171.5842595	214.6171562	128.5513627	0.5989799	-0.739420504	0.000106516	0.005385105
ENSG00000260257.2	RP5-1085F17.3	lincRNA	173.3983667	125.2580154	221.538718	1.768659014	0.822655932	0.000107391	0.005417512
ENSG00000226688.4	ENTPD1-AS1	antisense	61.58047114	39.01605829	84.144884	2.156673116	1.108807526	0.000144484	0.006984416
ENSG00000279059.1	RP11-257O5.2	TEC	17.559793	8.503747994	26.61583801	3.129894963	1.646114242	0.000168021	0.007843805
ENSG00000250899.3	RP11-253E3.3	lincRNA	124.7955972	93.4035179	156.1876766	1.672181949	0.741731834	0.000272576	0.011413212
ENSG00000175898.4	CTD-2369P2.2	lincRNA	25.14968468	35.24857402	15.05079533	0.42699019	-1.227725169	0.000331355	0.013343507
ENSG00000263470.1	RP11-160O5.1	lincRNA	66.24623123	86.15148045	46.34098201	0.537901169	-0.894586972	0.000340666	0.013647273
ENSG00000204876.4	AC021218.2	lincRNA	59.18490675	77.9824117	40.38740179	0.517903985	-0.949243435	0.000347299	0.01381736
ENSG00000253746.1	RP11-527N22.2	lincRNA	39.48079704	54.16148205	24.80011204	0.45789205	-1.126920579	0.0004432	0.016795892
ENSG00000272016.1	RP11-215G15.5	lincRNA	247.9799542	194.8670254	301.0928831	1.545119717	0.627718624	0.00045419	0.017072664
ENSG00000270157.1	RP5-894A10.6	sense_intronic	36.46891686	50.30195184	22.63588187	0.45000007	-1.152002868	0.00052354	0.01897115
ENSG00000237517.6	DGCR5	antisense	20.710886	29.70792492	11.71384708	0.394300413	-1.342632872	0.000538491	0.019391546
ENSG00000278309.1	RP11-102K13.5	lincRNA	28.47970824	17.23677794	39.72263853	2.304528066	1.204471338	0.000554552	0.019724514
ENSG00000163364.7	LINC01116	lincRNA	249.2800556	198.0447938	300.5153175	1.517410843	0.601611752	0.000591007	0.02070312
ENSG00000250072.3	CTC-529P8.1	lincRNA	35.76023164	48.53035628	22.99010699	0.473726318	-1.077874272	0.000714532	0.023811635
ENSG00000259758.1	CASC7	lincRNA	600.8540005	494.5463988	707.1616021	1.429919627	0.515934058	0.00082741	0.026588054
ENSG00000232445.1	RP11-132A1.4	antisense	52.76046363	37.89716547	67.62376178	1.784401576	0.835440327	0.000901627	0.028328639
ENSG00000231528.2	FAM225A	lincRNA	41.34465652	54.36581505	28.32349798	0.52097992	-0.940700327	0.000909238	0.028489045
ENSG00000241472.4	PTPRG-AS1	processed_transcript	153.0164406	119.2559534	186.7769278	1.566185356	0.647254964	0.001144806	0.034028214
ENSG00000225684.3	FAM225B	lincRNA	40.14700506	53.02068232	27.2733278	0.514390359	-0.959064493	0.001427558	0.040121624
ENSG00000260260.1	SNHG19	lincRNA	113.3114102	138.4946076	88.12821291	0.636329561	-0.65215395	0.001612136	0.043574416
ENSG00000259146.3	RP1-261D10.2	antisense	19.17377759	27.3992639	10.94829129	0.39958341	-1.32343141	0.001901041	0.04831899
ENSG00000262194.1	CTD-3195I5.5	lincRNA	7.236771926	2.409640042	12.06390381	5.00651699	2.323807276	0.001911779	0.048526937
ENSG00000279464.1	RP11-17P16.1	TEC	6.205308751	10.63219207	1.778425428	0.167267993	-2.579766687	0.001913414	0.048526937
ENSG00000256802.2	RP11-680F8.1	antisense	59.69112112	76.45280958	42.92943266	0.561515435	-0.832602414	0.001916964	0.048563794
ENSG00000223749.5	MIR503HG	lincRNA	30.41977335	20.3068434	40.53270329	1.996012009	0.9971204	0.001952002	0.04912892
ENSG00000273812.1	WI2-87327B8.2	lincRNA	54.38666183	70.42727138	38.34605228	0.544477324	-0.877056128	0.002131877	0.052458673
ENSG00000272102.1	RP3-355L5.5	lincRNA	2.692357022	5.384714044	0	0	#NAME?	0.002154373	0.052735706
ENSG00000214900.6	C14orf182	lincRNA	69.34242246	87.78068534	50.90415958	0.579901597	-0.786119985	0.002826049	0.06459739
ENSG00000234323.3	RP11-308N19.1	lincRNA	41.33917685	54.30617837	28.37217533	0.522448388	-0.936639574	0.002942263	0.066401657
ENSG00000228395.1	RP11-216B9.6	antisense	5.918589048	9.740275561	2.096902535	0.215281644	-2.215702782	0.003223146	0.070674197
ENSG00000229694.4	RP11-305L7.6	lincRNA	9.825801318	15.21924468	4.432357952	0.291233766	-1.77975046	0.003462849	0.074037188
ENSG00000269927.1	RP6-91H8.3	lincRNA	68.99412396	86.57074532	51.41750259	0.593936236	-0.751620042	0.003987291	0.082012342
ENSG00000222032.1	AC112721.2	lincRNA	25.02500589	34.81816694	15.23184484	0.437468316	-1.192749564	0.003997653	0.082061747
ENSG00000238117.1	AP004372.1	antisense	27.44987504	38.07968808	16.82006199	0.441706927	-1.178838638	0.004168485	0.084077752
ENSG00000230615.4	RP5-1198O20.4	lincRNA	18.68721902	25.94937374	11.4250643	0.440282853	-1.183497436	0.004288208	0.085772676
ENSG00000227946.1	AC007383.3	lincRNA	6.043504831	2.457135772	9.629873891	3.919146025	1.970539328	0.00428731	0.085772676
ENSG00000213904.6	LIPE-AS1	antisense	15.96973013	23.50889371	8.430566562	0.358611795	-1.479505156	0.004694767	0.09135069
ENSG00000251257.2	CTD-2263F21.1	antisense	62.31647682	77.67783607	46.95511757	0.604485397	-0.726220607	0.004823022	0.093063056
ENSG00000177234.7	C10orf85	lincRNA	17.48114398	24.54477017	10.4175178	0.424429226	-1.236404093	0.005187202	0.096914208
ENSG00000267121.3	CTD-2020K17.1	antisense	26.53914435	36.23769114	16.84059756	0.464726009	-1.105547707	0.005204048	0.097098905
ENSG00000225339.3	RP11-513I15.6	processed_transcript	20.76019357	28.96301039	12.55737675	0.433566006	-1.205676448	0.005345092	0.098618009
ENSG00000232774.5	FLJ22447	lincRNA	268.8381183	312.4615576	225.2146789	0.720775639	-0.472377843	0.005435301	0.099450878
ENSG00000259065.1	RP5-1021I20.1	antisense	3.71343943	6.437982626	0.988896234	0.153603433	-2.702717633	0.005775407	0.103541444
ENSG00000203706.6	SERTAD4-AS1	antisense	142.6508806	169.2050975	116.0966638	0.686129824	-0.543446517	0.006062616	0.106915373
ENSG00000237686.4	RP5-1120P11.1	antisense	26.95445848	36.61019666	17.2987203	0.472510991	-1.081580207	0.006133328	0.107426033
ENSG00000214049.6	UCA1	processed_transcript	14.32933984	7.70608656	20.95259311	2.718966748	1.443058508	0.00693979	0.11780854
ENSG00000271614.1	LINC00936	lincRNA	25.76481555	34.17118939	17.35844171	0.507984709	-0.977143023	0.00700318	0.118537005
ENSG00000232586.1	KIAA1614-AS1	antisense	1.578282115	0	3.156564231	Inf	Inf	0.007134008	0.120049393
ENSG00000272182.1	RP11-802O23.3	antisense	20.06480039	28.43440398	11.69519681	0.411304447	-1.281721424	0.007319732	0.122197836
ENSG00000231290.3	APCDD1L-AS1	processed_transcript	48.64765382	62.02744792	35.26785973	0.56858473	-0.814552741	0.007379579	0.122754418
ENSG00000225733.3	FGD5-AS1	antisense	2761.745871	3111.356432	2412.13531	0.775268075	-0.367232839	0.007767801	0.126843035
ENSG00000233384.1	RP11-100E13.1	antisense	22.29185873	30.15277861	14.43093885	0.478593997	-1.063125793	0.007777021	0.12690411
ENSG00000249348.1	UGDH-AS1	antisense	9.017744177	13.56050673	4.474981627	0.330001062	-1.599457425	0.007823289	0.127479413
