Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000196754.8	S100A2	protein_coding	910.2014026	1443.519092	376.8837133	0.261086753	-1.937398832	1.59E-35	3.70E-31
ENSG00000183873.13	SCN5A	protein_coding	761.7595303	1198.54794	324.9711201	0.271137356	-1.882904198	1.78E-31	2.07E-27
ENSG00000139629.13	GALNT6	protein_coding	865.9137733	1339.336497	392.4910493	0.293048872	-1.770786812	8.92E-31	6.90E-27
ENSG00000124882.3	EREG	protein_coding	1407.522625	653.8507919	2161.194457	3.305332782	1.72479553	8.12E-30	4.72E-26
ENSG00000085117.9	CD82	protein_coding	769.8036945	1165.685439	373.9219499	0.320774316	-1.640369461	5.61E-25	2.17E-21
ENSG00000101846.6	STS	protein_coding	249.4350727	391.7158386	107.1543067	0.273551121	-1.870117627	8.54E-25	2.83E-21
ENSG00000118898.13	PPL	protein_coding	538.6493869	852.1098621	225.1889117	0.264272157	-1.919903658	3.86E-24	1.12E-20
ENSG00000125968.8	ID1	protein_coding	1345.905565	699.6721029	1992.139028	2.847246617	1.509567459	9.71E-23	2.51E-19
ENSG00000029993.12	HMGB3	protein_coding	4214.6629	6618.087136	1811.238665	0.273680087	-1.869437625	1.29E-22	2.99E-19
ENSG00000163661.3	PTX3	protein_coding	963.9389306	505.9008401	1421.977021	2.810782091	1.490971612	1.69E-22	3.57E-19
ENSG00000088836.10	SLC4A11	protein_coding	149.7109408	241.0353133	58.38656829	0.242232424	-2.045536103	2.74E-22	5.31E-19
ENSG00000185585.17	OLFML2A	protein_coding	404.0356682	612.724105	195.3472314	0.318817605	-1.6491968	3.75E-22	6.70E-19
ENSG00000114554.9	PLXNA1	protein_coding	3509.846079	5078.172274	1941.519883	0.38232651	-1.387122856	6.55E-21	1.01E-17
ENSG00000197594.9	ENPP1	protein_coding	4382.572448	6275.392057	2489.752839	0.396748572	-1.333703064	1.46E-20	2.12E-17
ENSG00000170498.7	KISS1	protein_coding	282.2486527	430.4105424	134.086763	0.311532246	-1.682546594	1.19E-19	1.63E-16
ENSG00000144749.11	LRIG1	protein_coding	263.5329794	395.812384	131.2535748	0.331605528	-1.592460035	2.64E-19	3.41E-16
ENSG00000143816.7	WNT9A	protein_coding	93.83081877	152.2039023	35.45773526	0.232962064	-2.101833051	1.62E-18	1.92E-15
ENSG00000198959.9	TGM2	protein_coding	10340.93174	14594.09914	6087.764333	0.417138754	-1.261400743	1.65E-18	1.92E-15
ENSG00000241685.6	ARPC1A	protein_coding	1822.061692	2581.760822	1062.362562	0.411487599	-1.281079142	2.78E-18	3.08E-15
ENSG00000125378.13	BMP4	protein_coding	1565.702267	2212.566183	918.8383515	0.415281748	-1.267837631	1.29E-17	1.36E-14
ENSG00000127533.3	F2RL3	protein_coding	36.73382292	66.9756859	6.491959936	0.0969301	-3.366911449	1.40E-17	1.41E-14
ENSG00000140526.14	ABHD2	protein_coding	1769.288597	2491.865329	1046.711865	0.420051538	-1.251361744	1.67E-17	1.61E-14
