Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000261786.1	RP4-555D20.2	lincRNA	69.42594035	110.8449383	28.00694241	0.252667761	-1.984686497	6.17E-10	5.51E-07
ENSG00000260336.1	RP11-395B7.7	sense_overlapping	137.8367179	198.4436613	77.2297745	0.389177331	-1.361500416	1.08E-08	5.83E-06
ENSG00000269751.2	CTC-273B12.8	lincRNA	218.2237604	291.6064059	144.8411148	0.49670073	-1.009551227	2.34E-08	1.01E-05
ENSG00000273270.1	RP11-212P7.2	lincRNA	81.83082928	111.6310921	52.03056647	0.466093859	-1.101307591	2.48E-07	7.06E-05
ENSG00000260896.3	RP11-314O13.1	lincRNA	119.578604	76.38952267	162.7676854	2.130759294	1.091367625	3.20E-07	8.35E-05
ENSG00000273230.1	RP11-1246C19.1	lincRNA	26.91101443	41.01242422	12.80960464	0.312334735	-1.678835074	7.51E-06	0.001063221
ENSG00000250899.3	RP11-253E3.3	lincRNA	132.2702926	171.1370672	93.4035179	0.545781924	-0.87360348	1.18E-05	0.001534085
ENSG00000269044.2	CTC-429P9.3	sense_intronic	35.79291645	50.94357388	20.64225903	0.405198486	-1.30329931	2.53E-05	0.002809354
ENSG00000263412.1	RP5-890E16.2	processed_transcript	13.63054655	5.158275724	22.10281738	4.284923599	2.099269481	3.38E-05	0.00348646
ENSG00000254635.3	WAC-AS1	antisense	287.9235809	351.0915898	224.7555719	0.640162221	-0.643490556	7.88E-05	0.006640688
ENSG00000280239.1	CTB-50L17.8	TEC	14.79826984	23.69388742	5.902652275	0.24912131	-2.005079658	9.59E-05	0.007491823
ENSG00000261824.4	LINC00662	lincRNA	267.1773752	175.780172	358.5745784	2.039903444	1.028500866	9.70E-05	0.007557446
ENSG00000275198.1	RP11-471B22.3	lincRNA	16.00951439	7.754718199	24.26431058	3.128973866	1.645689609	0.00010378	0.007971986
ENSG00000250508.1	RP11-757G1.6	lincRNA	30.08523804	43.68239108	16.488085	0.377453811	-1.405627981	0.000128548	0.00926663
ENSG00000263731.1	RP11-498C9.15	lincRNA	291.4795638	356.4198192	226.5393084	0.635596833	-0.653816158	0.000136174	0.009695953
ENSG00000269926.1	RP11-442H21.2	antisense	19.90785075	6.723369507	33.09233199	4.921986209	2.299240615	0.000152812	0.010494309
ENSG00000213468.3	FIRRE	lincRNA	34.13503769	21.2388401	47.03123528	2.21439754	1.146914245	0.00015874	0.010837276
ENSG00000271936.1	RP11-443B20.1	antisense	58.08403747	77.6246683	38.54340665	0.496535541	-1.010031109	0.000185394	0.012054265
ENSG00000274627.1	RP11-104N10.2	sense_intronic	69.9325998	89.99686272	49.86833689	0.554111948	-0.85175062	0.000193276	0.012365273
ENSG00000279443.1	RP4-669K10.8	TEC	9.525812999	15.65360523	3.398020773	0.217075921	-2.203728389	0.000192334	0.012365273
ENSG00000255031.3	RP11-802E16.3	antisense	15.14192838	24.10148129	6.182375478	0.256514336	-1.962888636	0.00019589	0.012457558
ENSG00000267350.3	RP1-178F10.3	processed_transcript	357.2968556	430.3783097	284.2154014	0.66038505	-0.598620635	0.000218294	0.013621077
ENSG00000237021.2	RP3-486I3.7	lincRNA	15.66034732	5.926252506	25.39444212	4.285075956	2.099320777	0.00023762	0.014514853
ENSG00000269927.1	RP6-91H8.3	lincRNA	65.17998774	43.78923016	86.57074532	1.97698715	0.983303494	0.000243938	0.014593523
ENSG00000279164.1	RP4-737E23.5	TEC	16.70575176	7.584182817	25.8273207	3.405419058	1.767832342	0.000241138	0.014593523
ENSG00000278948.1	RP5-1039K5.12	TEC	33.74512939	46.73487979	20.75537899	0.444108963	-1.171014408	0.000249095	0.014819063
ENSG00000255455.2	RP11-890B15.3	lincRNA	49.63178216	66.646926	32.61663832	0.489394489	-1.030930238	0.000327971	0.017870565
ENSG00000232774.5	FLJ22447	lincRNA	258.5308174	204.6000773	312.4615576	1.527182012	0.610872015	0.000351858	0.018658971
ENSG00000268403.2	CTD-2371O3.3	antisense	56.34392402	39.64135244	73.0464956	1.842684245	0.881808878	0.000450973	0.02260904
ENSG00000269973.1	RP11-95D17.1	lincRNA	139.4648868	171.8622984	107.0674751	0.622984076	-0.682732808	0.000508071	0.024880492
ENSG00000248323.3	LUCAT1	lincRNA	35.93509586	22.40740949	49.46278224	2.207429746	1.142367523	0.000548206	0.026237047
ENSG00000278133.1	RP11-196G11.5	sense_intronic	13.53144026	20.22680356	6.836076963	0.337971195	-1.565027804	0.00058893	0.027560986
ENSG00000226312.5	CFLAR-AS1	antisense	12.45782508	5.31074036	19.60490981	3.691558706	1.884230101	0.000647255	0.028892469
ENSG00000270172.1	RP5-1024G6.8	lincRNA	63.31234076	80.70093449	45.92374703	0.569060908	-0.81334502	0.000650885	0.028941337
ENSG00000261061.1	RP11-303E16.2	sense_intronic	135.3944701	165.4395774	105.3493629	0.636784526	-0.651122817	0.000709768	0.030852304
ENSG00000260804.3	PKI55	lincRNA	117.0122996	144.5822303	89.44236882	0.618626291	-0.692859948	0.000724122	0.031300405
ENSG00000276791.1	CTD-2270P14.5	lincRNA	34.4953238	23.09774055	45.89290704	1.986900275	0.990519464	0.000755991	0.032139304
ENSG00000280128.1	XXbac-BPG283O16.9	TEC	64.80522759	82.88978309	46.72067209	0.56364814	-0.82713326	0.000771507	0.032697408
ENSG00000260260.1	SNHG19	lincRNA	112.4146412	86.33467487	138.4946076	1.604159717	0.68181779	0.000862915	0.035577225
ENSG00000273320.1	RP11-22N19.2	antisense	22.12072827	12.69400618	31.54745037	2.485224123	1.313375963	0.000910688	0.036961437
ENSG00000248599.1	FLJ42969	lincRNA	8.733691147	3.300669812	14.16671248	4.292072	2.101674278	0.001103714	0.042460679
