Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000235123.3	DSCAM-AS1	antisense	-10.43185924	6.99499497	0	0	0.009559702	-1	8234	10503	8945	4	7	3	5	3	1	5	5	4		
ENSG00000231298.4	LINC00704	lincRNA	9.209637395	5.448855772	3.22E-271	3.05E-269	0.010147899	1	2	3	1	603	766	954	858	647	610	782	943	944		
ENSG00000227051.5	C14orf132	lincRNA	-10.20674117	4.20518735	9.68E-242	7.30E-240	0.010804453	-1	1057	1434	1350	1	0	0	1	1	0	0	2	0		
ENSG00000225383.4	SFTA1P	lincRNA	11.09748932	4.375887243	1.74E-235	1.23E-233	0.011268069	1	0	0	1	160	239	299	188	143	121	612	852	761		
ENSG00000255248.4	RP11-166D19.1	sense_overlapping	11.05996074	5.500394643	1.89E-235	1.33E-233	0.011047272	1	0	0	1	605	1016	978	991	885	771	558	789	819		
ENSG00000203499.8	FAM83H-AS1	lincRNA	-10.34448366	4.843888024	6.06E-232	4.10E-230	0.015101536	-1	1383	2291	2491	1	3	1	1	0	2	1	0	2		
ENSG00000261116.1	RP3-523K23.2	sense_overlapping	-8.941672145	4.764470268	3.32E-223	2.07E-221	0.014895275	-1	1802	1998	1872	0	5	0	0	2	1	2	4	2		
ENSG00000272620.1	AFAP1-AS1	antisense	9.323688398	4.724782225	5.48E-208	2.95E-206	0.010460066	1	1	1	1	412	503	645	400	393	417	404	652	513		
ENSG00000259974.2	LINC00261	lincRNA	12.13731948	4.881111507	3.12E-174	1.22E-172	0.013305995	1	0	0	0	473	842	693	566	448	445	354	523	521		
ENSG00000130600.13	H19	processed_transcript	-8.670303478	4.937808216	1.80E-171	6.88E-170	0.022458566	-1	1408	3135	2081	1	1	5	2	2	3	3	6	2		
ENSG00000269728.1	RP11-145M9.4	lincRNA	4.362984809	5.243292505	1.87E-163	6.57E-162	0.009130162	1	42	53	47	545	738	889	672	601	574	529	779	769		
ENSG00000237187.6	NR2F1-AS1	antisense	7.430258496	4.503004856	1.55E-162	5.42E-161	0.009471134	1	1	2	4	338	546	479	540	490	422	255	349	301		
ENSG00000249550.4	LINC01234	lincRNA	7.334913566	3.582745617	3.09E-150	9.64E-149	0.008260338	1	2	3	1	139	204	215	265	222	183	199	298	240		
ENSG00000272016.1	RP11-215G15.5	lincRNA	5.89580778	3.566399426	4.40E-131	1.14E-129	0.010985883	1	6	6	7	176	174	220	200	157	177	219	334	269		
ENSG00000231131.4	LINC01468	lincRNA	-8.403306228	2.986798839	1.83E-124	4.37E-123	0.016972858	-1	480	507	572	0	0	0	0	0	0	0	2	1		
ENSG00000278730.1	LINC00674	lincRNA	-2.25781189	6.46597985	6.54E-118	1.45E-116	0.005697802	-1	3259	4111	4284	570	705	795	689	608	574	485	688	558		
ENSG00000224738.1	AC099850.1	antisense	-5.520150135	3.229479294	1.95E-114	4.13E-113	0.015142721	-1	413	733	638	9	13	12	17	6	13	5	12	10		
ENSG00000256151.1	RP11-76C10.5	lincRNA	6.792448827	3.424768226	3.67E-114	7.71E-113	0.008868434	1	3	1	2	179	212	277	208	203	183	144	199	162		
ENSG00000262160.1	RP11-96D1.11	antisense	-6.651597693	2.914654778	3.66E-113	7.59E-112	0.016706538	-1	453	498	483	4	10	8	3	2	3	0	7	3		
ENSG00000280002.1	RP11-76C10.6	TEC	6.918593052	3.307492376	7.57E-110	1.52E-108	0.00820666	1	2	1	2	181	222	257	196	175	138	125	192	150		
ENSG00000248663.4	LINC00992	lincRNA	-8.915673553	2.226440511	2.88E-106	5.54E-105	0.012769215	-1	244	356	292	0	0	0	0	0	0	0	1	0		
ENSG00000232774.5	FLJ22447	lincRNA	5.71535909	3.682658161	8.15E-106	1.56E-104	0.011885397	1	4	7	5	186	197	236	340	273	248	162	219	227		
ENSG00000260822.1	GS1-358P8.4	sense_overlapping	-3.207041954	4.332187338	2.37E-99	4.16E-98	0.010065363	-1	901	1037	1137	100	138	130	106	80	94	65	89	83		
ENSG00000276483.1	CTC-543D15.7	lincRNA	8.169731189	3.087123481	8.29E-99	1.44E-97	0.01313105	1	0	2	0	154	180	204	121	105	140	143	185	166		
ENSG00000223573.4	TINCR	lincRNA	-7.737329536	3.016625258	1.34E-98	2.32E-97	0.024683596	-1	345	736	542	0	0	2	0	0	1	1	4	0		
ENSG00000223808.1	RP11-428L9.2	lincRNA	-10.54143948	1.812065366	3.76E-96	6.32E-95	0.009913438	-1	179	245	229	0	0	0	0	0	0	0	0	0		
ENSG00000267280.3	TBX2-AS1	antisense	-9.21946472	2.519717196	6.96E-96	1.17E-94	0.021014263	-1	237	466	417	0	0	1	1	1	0	0	1	0		
