Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000148773.10	MKI67	protein_coding	2621.496304	4114.373331	1128.619277	0.274311344	-1.866113811	5.28E-21	1.23E-16
ENSG00000125740.11	FOSB	protein_coding	65.72386078	20.98664394	110.4610776	5.263398852	2.395994724	2.69E-18	3.12E-14
ENSG00000125844.13	RRBP1	protein_coding	3761.046418	5380.586813	2141.506023	0.398006035	-1.329137788	1.37E-17	1.06E-13
ENSG00000070814.15	TCOF1	protein_coding	835.3975818	1180.87797	489.9171933	0.414875377	-1.269250059	2.06E-17	1.20E-13
ENSG00000170345.7	FOS	protein_coding	182.9164045	91.11053501	274.722274	3.015263536	1.5922841	2.70E-17	1.25E-13
ENSG00000125968.8	ID1	protein_coding	1190.842832	699.6721029	1682.013561	2.404002609	1.265438462	6.17E-17	2.39E-13
ENSG00000137497.15	NUMA1	protein_coding	4329.933082	5982.223073	2677.643091	0.447600007	-1.159718035	1.16E-16	3.85E-13
ENSG00000118898.13	PPL	protein_coding	583.7572192	852.1098621	315.4045764	0.370145436	-1.433835855	3.96E-15	1.15E-11
ENSG00000167522.12	ANKRD11	protein_coding	715.5778161	989.5514883	441.6041438	0.446266969	-1.164021066	2.07E-14	5.33E-11
ENSG00000100345.18	MYH9	protein_coding	18693.82051	25033.6092	12354.03181	0.49349783	-1.018884355	1.60E-13	3.72E-10
ENSG00000160299.14	PCNT	protein_coding	855.917763	1153.968088	557.8674381	0.483434025	-1.048609077	2.16E-12	4.55E-09
ENSG00000126001.13	CEP250	protein_coding	1507.933439	2049.497464	966.3694146	0.471515302	-1.084623505	4.79E-12	9.27E-09
ENSG00000131016.14	AKAP12	protein_coding	1367.086189	1840.347178	893.8252002	0.485682925	-1.041913328	8.07E-12	1.44E-08
ENSG00000078687.14	TNRC6C	protein_coding	280.7252419	384.8699889	176.5804949	0.458805571	-1.124045187	2.75E-11	4.55E-08
ENSG00000162496.6	DHRS3	protein_coding	283.2754201	152.6438072	413.9070331	2.711587458	1.439137703	4.31E-11	6.67E-08
ENSG00000124882.3	EREG	protein_coding	980.0355066	653.8507919	1306.220221	1.997734403	0.998364791	4.81E-11	6.98E-08
ENSG00000168672.3	FAM84B	protein_coding	443.7310851	293.0840791	594.3780912	2.028012211	1.020066339	5.94E-11	8.11E-08
ENSG00000183873.13	SCN5A	protein_coding	900.5090798	1198.54794	602.4702191	0.502666768	-0.992325782	6.37E-11	8.22E-08
ENSG00000090615.10	GOLGA3	protein_coding	1599.102242	2095.816035	1102.38845	0.525994854	-0.926879409	1.04E-10	1.27E-07
