Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000235123.3	DSCAM-AS1	antisense	-10.58338077	6.99499497	0	0	0.009559702	-1	8234	10503	8945	4	7	3	5	3	1	5	5	4		
ENSG00000227051.5	C14orf132	lincRNA	-11.15344309	4.20518735	2.05E-252	1.56E-250	0.010804453	-1	1057	1434	1350	1	0	0	1	1	0	0	2	0		
ENSG00000231298.4	LINC00704	lincRNA	8.838438543	5.448855772	1.45E-248	1.06E-246	0.010147899	1	2	3	1	603	766	954	858	647	610	782	943	944		
ENSG00000255248.4	RP11-166D19.1	sense_overlapping	11.16992327	5.500394643	7.20E-248	5.23E-246	0.011047272	1	0	0	1	605	1016	978	991	885	771	558	789	819		
ENSG00000203499.8	FAM83H-AS1	lincRNA	-9.813128936	4.843888024	2.23E-237	1.48E-235	0.015101536	-1	1383	2291	2491	1	3	1	1	0	2	1	0	2		
ENSG00000261116.1	RP3-523K23.2	sense_overlapping	-9.735640322	4.764470268	3.30E-235	2.15E-233	0.014895275	-1	1802	1998	1872	0	5	0	0	2	1	2	4	2		
ENSG00000272620.1	AFAP1-AS1	antisense	9.174517314	4.724782225	5.68E-203	2.74E-201	0.010460066	1	1	1	1	412	503	645	400	393	417	404	652	513		
ENSG00000259974.2	LINC00261	lincRNA	12.5601725	4.881111507	6.46E-200	3.01E-198	0.013305995	1	0	0	0	473	842	693	566	448	445	354	523	521		
ENSG00000237187.6	NR2F1-AS1	antisense	7.86261812	4.503004856	9.42E-199	4.30E-197	0.009471134	1	1	2	4	338	546	479	540	490	422	255	349	301		
ENSG00000130600.13	H19	processed_transcript	-9.449742293	4.937808216	4.34E-181	1.69E-179	0.022458566	-1	1408	3135	2081	1	1	5	2	2	3	3	6	2		
