Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2
ENSG00000148773.10	MKI67	protein_coding	-1.867641759	7.461646653	1.32E-28	2.10E-24	0.01867593	-1	3453	3559	5005	3459	3974	5138	977	889	1193	1116	1736	1753
ENSG00000118898.13	PPL	protein_coding	-1.438661918	5.733657781	1.24E-21	9.86E-18	0.013768891	-1	1490	2241	2571	648	974	1000	268	249	337	184	236	189
ENSG00000170345.7	FOS	protein_coding	1.591437003	3.822694078	2.13E-21	1.13E-17	0.012794021	1	280	398	335	72	119	87	281	227	245	140	206	123
ENSG00000137497.15	NUMA1	protein_coding	-1.16093976	8.242022792	4.50E-21	1.79E-17	0.010396862	-1	5084	8411	8378	4503	6827	7099	2409	2228	2644	2447	3471	2408
ENSG00000134333.11	LDHA	protein_coding	0.825688376	10.29089824	1.65E-18	4.38E-15	0.006240296	1	3401	4396	5054	13098	17614	19013	30031	25103	23991	16556	25386	21850
ENSG00000070814.15	TCOF1	protein_coding	-1.272471965	5.93709133	3.67E-18	8.34E-15	0.01362831	-1	819	1214	1365	948	1164	1514	411	427	490	725	1183	719
ENSG00000124882.3	EREG	protein_coding	0.995369772	6.166839961	1.75E-17	3.48E-14	0.008625157	1	26	22	26	476	803	738	1236	1256	1081	1541	2401	1963
ENSG00000113448.14	PDE4D	protein_coding	0.918813541	6.678125313	1.17E-16	2.07E-13	0.008051357	1	159	216	190	892	1326	1157	2023	1911	1788	1709	3065	2238
ENSG00000167522.12	ANKRD11	protein_coding	-1.166865933	5.610104038	2.44E-16	3.89E-13	0.012646901	-1	912	964	1124	832	1090	1091	367	378	451	409	654	489
ENSG00000125968.8	ID1	protein_coding	1.266835365	6.629142222	3.66E-16	5.03E-13	0.015941839	1	991	2187	1964	636	813	657	1714	1503	1399	1655	2153	1591
ENSG00000126001.13	CEP250	protein_coding	-1.08693841	6.313339289	3.79E-16	5.03E-13	0.011790256	-1	464	560	605	1661	1972	2657	838	786	997	840	1245	949
ENSG00000100219.14	XBP1	protein_coding	1.143195481	9.163754959	5.73E-16	7.02E-13	0.013566651	1	28401	38309	29548	1174	1764	1675	3113	3298	2684	2180	3832	2012
ENSG00000173230.13	GOLGB1	protein_coding	-1.474542988	6.781539222	1.59E-15	1.69E-12	0.02262247	-1	3813	3688	4169	1258	1839	2076	480	466	684	612	865	981
ENSG00000090615.10	GOLGA3	protein_coding	-0.928748531	6.884328224	1.52E-15	1.69E-12	0.008914914	-1	2065	3005	3085	1695	2103	2629	1024	911	1068	1062	1759	1165
ENSG00000054654.13	SYNE2	protein_coding	-1.199367223	7.790374529	2.13E-15	2.12E-12	0.015506778	-1	7972	8003	9151	2525	3236	3893	1261	1093	1378	1013	1460	1620
ENSG00000125844.13	RRBP1	protein_coding	-1.330609826	7.740824434	2.37E-15	2.22E-12	0.019321533	-1	1774	2640	2820	4204	5685	6654	1528	1756	2466	2091	3278	2450
ENSG00000160299.14	PCNT	protein_coding	-1.050786586	6.091032034	2.58E-15	2.28E-12	0.011150539	-1	1355	1739	1909	974	1129	1420	523	419	576	633	940	821
ENSG00000110090.10	CPT1A	protein_coding	-0.89617266	6.624211971	2.75E-15	2.30E-12	0.007792169	-1	3263	4380	4593	866	1066	1364	538	486	552	612	906	652
ENSG00000100345.18	MYH9	protein_coding	-1.019724146	10.08440907	4.96E-15	3.95E-12	0.01191206	-1	9062	12978	14909	20705	25209	30644	10439	10419	12622	11521	17789	12432
ENSG00000178980.12	SEPW1	protein_coding	1.217928922	6.342330535	5.53E-15	4.19E-12	0.016007392	1	1198	2560	1802	523	748	705	1630	1409	1112	907	1258	759
ENSG00000174600.11	CMKLR1	protein_coding	1.099008582	3.830931449	9.16E-15	6.62E-12	0.010622701	1	1	0	0	152	255	209	442	370	370	137	210	181
ENSG00000255346.7	NOX5	protein_coding	1.141092684	3.037136227	1.35E-14	9.37E-12	0.010035937	1	18	18	24	106	142	149	284	246	255	29	60	29
ENSG00000197594.9	ENPP1	protein_coding	-0.833078829	7.928085266	1.92E-14	1.28E-11	0.008189309	-1	1825	2163	2309	4906	7491	6829	3299	3153	3168	1774	2575	2410
ENSG00000168209.4	DDIT4	protein_coding	2.124771381	8.128756715	2.12E-14	1.35E-11	0.050870119	1	1001	2073	1619	1227	2650	1631	7447	7688	6207	4075	8479	2328
ENSG00000112972.12	HMGCS1	protein_coding	-0.977118065	6.568806188	2.89E-14	1.77E-11	0.010795683	-1	1730	1974	2067	1132	2114	1869	849	710	741	1019	1456	1396
ENSG00000148344.10	PTGES	protein_coding	0.81331452	6.147274428	4.03E-14	2.37E-11	0.007518973	1	123	220	154	882	1197	1225	1973	1711	1539	734	1118	768
ENSG00000125740.11	FOSB	protein_coding	2.427141616	1.746395587	5.22E-14	2.87E-11	0.044125997	1	10	17	15	23	30	8	111	101	91	47	68	29
ENSG00000163661.3	PTX3	protein_coding	0.850536149	5.620703625	8.00E-14	4.24E-11	0.007707518	1	1	1	1	418	591	532	883	833	780	1015	1588	1284
ENSG00000089723.7	OTUB2	protein_coding	0.83745639	5.61071833	1.19E-13	6.09E-11	0.008022565	1	130	208	206	613	875	770	1379	1141	1118	471	683	482
ENSG00000078687.14	TNRC6C	protein_coding	-1.127866125	4.574391087	1.22E-13	6.09E-11	0.012065159	-1	561	676	814	327	377	470	160	141	179	191	256	231
ENSG00000166920.8	C15orf48	protein_coding	1.151024376	3.325813016	1.61E-13	7.76E-11	0.011787184	1	15	32	28	99	159	143	330	251	221	94	150	140
ENSG00000183873.13	SCN5A	protein_coding	-0.993844728	5.218731325	2.28E-13	1.07E-10	0.011766478	-1	8	9	7	935	1365	1378	592	498	557	249	419	231
ENSG00000166794.4	PPIB	protein_coding	-0.787723132	7.850710007	2.39E-13	1.09E-10	0.007821965	-1	4538	7418	6965	2579	4035	3672	2020	1644	1669	2392	3541	2421
ENSG00000135373.10	EHF	protein_coding	0.769557339	6.361037879	2.86E-13	1.26E-10	0.007215891	1	3	9	7	976	1212	1284	1929	1718	1682	1154	1706	1582
ENSG00000167880.5	EVPL	protein_coding	-1.246316496	5.19707843	3.45E-13	1.48E-10	0.017597784	-1	719	1373	1481	508	556	698	221	217	228	261	439	249
ENSG00000143631.10	FLG	protein_coding	-1.935018026	3.256637875	9.44E-13	3.95E-10	0.043552708	-1	0	0	1	340	246	589	83	77	112	48	63	56
ENSG00000163257.8	DCAF16	protein_coding	-0.875329943	5.455874807	1.01E-12	4.03E-10	0.009054475	-1	648	750	799	710	806	1099	454	409	412	467	629	560
ENSG00000139044.8	B4GALNT3	protein_coding	-1.232191811	2.742042413	1.01E-12	4.03E-10	0.012521718	-1	20	19	38	144	241	219	83	69	77	67	91	64
ENSG00000168502.15	MTCL1	protein_coding	-0.821262569	6.489249116	1.12E-12	4.33E-10	0.008702134	-1	443	647	714	1490	1843	2233	1018	801	995	1430	1949	1611
ENSG00000116285.10	ERRFI1	protein_coding	0.754627114	8.635461854	1.16E-12	4.39E-10	0.007883906	1	916	1102	1107	4313	6553	6308	9403	8649	7834	5007	8656	5451
ENSG00000187837.3	HIST1H1C	protein_coding	0.741670461	10.64070509	1.42E-12	5.24E-10	0.007773637	1	9157	14430	12218	17321	22522	22739	35875	31390	27288	20776	33420	20722
ENSG00000100055.18	CYTH4	protein_coding	1.299779673	2.569913673	2.25E-12	8.13E-10	0.014790138	1	0	0	0	71	90	67	172	184	152	58	105	73
ENSG00000134324.9	LPIN1	protein_coding	-0.745941027	6.0301204	2.48E-12	8.76E-10	0.007220565	-1	393	567	439	1195	1821	1894	923	840	839	615	918	736
ENSG00000088888.15	MAVS	protein_coding	-0.920512234	7.026392505	3.32E-12	1.15E-09	0.011675781	-1	2873	4470	4442	1802	2031	2439	1002	865	1101	983	1530	943
ENSG00000127603.21	MACF1	protein_coding	-0.849637341	8.482551746	3.91E-12	1.32E-09	0.010443496	-1	5365	5888	6484	6040	7280	8754	3774	3227	3934	3197	4814	4468
ENSG00000129566.10	TEP1	protein_coding	-0.967874927	4.474195536	4.46E-12	1.48E-09	0.00995204	-1	455	716	697	321	387	454	200	166	168	158	240	140
ENSG00000151914.15	DST	protein_coding	-1.068451378	8.737197614	4.83E-12	1.57E-09	0.016664822	-1	3557	3595	3931	7369	9478	12133	4089	3553	4572	5188	7274	8140
ENSG00000068489.10	PRR11	protein_coding	-1.010953582	6.278947479	4.93E-12	1.57E-09	0.013944989	-1	1748	2073	2420	1030	1214	1681	547	530	646	602	926	899
ENSG00000131016.14	AKAP12	protein_coding	-1.04434522	6.171624856	5.17E-12	1.61E-09	0.015312422	-1	48	32	56	1375	1984	2324	755	733	933	937	1566	1244
ENSG00000162496.6	DHRS3	protein_coding	1.43138997	4.046194449	6.20E-12	1.90E-09	0.025991636	1	208	398	223	94	206	177	423	401	314	120	209	114
ENSG00000164284.12	GRPEL2	protein_coding	0.776635642	6.174882318	7.89E-12	2.37E-09	0.00806337	1	979	1207	1256	618	720	829	1181	1130	1030	929	1635	1048
ENSG00000146830.9	GIGYF1	protein_coding	-1.036127351	4.829872871	1.57E-11	4.62E-09	0.013377751	-1	584	1035	824	350	550	564	214	213	206	198	362	198
ENSG00000155090.12	KLF10	protein_coding	0.72696153	6.422652475	3.29E-11	9.19E-09	0.007789842	1	1066	1275	1229	793	1227	1098	1582	1641	1387	969	1393	1110
ENSG00000115414.16	FN1	protein_coding	-1.223482785	8.576014587	3.48E-11	9.55E-09	0.02369194	-1	1025	1486	1575	8387	16771	9123	4066	4048	4910	3660	5407	3918
ENSG00000117724.10	CENPF	protein_coding	-1.240467938	8.921824547	4.64E-11	1.23E-08	0.024660405	-1	2698	2798	3413	9375	11577	15835	4077	3855	5718	5565	7920	9341
ENSG00000134086.7	VHL	protein_coding	-0.869976094	6.077759479	5.69E-11	1.48E-08	0.010979123	-1	1879	2239	2053	762	1019	1093	457	403	538	578	862	679
ENSG00000158373.8	HIST1H2BD	protein_coding	0.753772558	9.195867518	6.20E-11	1.58E-08	0.009347842	1	4708	8222	7355	5895	7355	7991	12197	10998	9149	7590	11789	7142
ENSG00000023445.11	BIRC3	protein_coding	0.87340121	5.884278224	6.26E-11	1.58E-08	0.011740368	1	23	26	37	609	996	853	1557	1262	1218	777	1063	1153
ENSG00000070047.9	PHRF1	protein_coding	-0.81715212	5.787588074	6.76E-11	1.66E-08	0.009909754	-1	558	1001	900	915	1190	1304	650	519	567	629	923	579
ENSG00000153879.6	CEBPG	protein_coding	0.76005957	6.783600729	6.77E-11	1.66E-08	0.009053307	1	1009	1241	1196	1019	1346	1556	2008	2180	1736	1340	2484	1631
ENSG00000269905.2	TFDP2	protein_coding	-0.972321105	3.91105546	7.67E-11	1.85E-08	0.011275945	-1	200	278	213	258	398	391	157	148	169	128	174	128
ENSG00000047056.12	WDR37	protein_coding	-0.785964967	4.944194681	9.85E-11	2.34E-08	0.008261366	-1	533	766	704	514	576	756	351	325	286	223	277	240
ENSG00000273703.1	HIST1H2BM	protein_coding	0.868344329	6.35006438	1.01E-10	2.36E-08	0.012014158	1	671	1071	967	843	940	1185	1767	1697	1418	909	1623	855
ENSG00000132694.16	ARHGEF11	protein_coding	-0.717576624	5.383324878	1.39E-10	3.15E-08	0.00728531	-1	521	750	697	675	865	978	501	423	448	411	666	431
