Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000261786.1	RP4-555D20.2	lincRNA	-1.983048494	1.716428312	5.04E-14	2.87E-11	0.027716329	-1	0	1	0	82	115	146	30	23	24	29	35	61		
ENSG00000260896.3	RP11-314O13.1	lincRNA	1.085390879	2.757077003	3.04E-11	8.65E-09	0.009468154	1	11	12	18	63	73	98	147	157	140	114	151	128		
ENSG00000269751.2	CTC-273B12.8	lincRNA	-1.014163656	3.58123481	3.75E-11	1.01E-08	0.011360934	-1	99	164	149	205	368	329	145	129	123	110	158	104		
ENSG00000260336.1	RP11-395B7.7	sense_overlapping	-1.366414696	3.421295195	1.10E-10	2.54E-08	0.022159461	-1	277	267	353	175	188	240	65	61	83	49	91	91		
ENSG00000273270.1	RP11-212P7.2	lincRNA	-1.116670336	3.44015244	1.20E-08	1.33E-06	0.012474241	-1	396	541	521	91	125	125	39	42	59	42	55	33		
ENSG00000273230.1	RP11-1246C19.1	lincRNA	-1.685455067	0.772690737	1.51E-08	1.57E-06	0.015415735	-1	14	38	31	29	49	49	11	15	9	10	11	15		
ENSG00000280239.1	CTB-50L17.8	TEC	-2.007845431	-0.119533405	4.18E-08	3.94E-06	0.00544456	-1	8	8	10	18	26	29	5	5	6	6	9	9		
ENSG00000250508.1	RP11-757G1.6	lincRNA	-1.417123576	0.553110224	6.44E-08	5.63E-06	0.008246078	-1	0	0	1	31	55	49	16	13	16	13	22	17		
ENSG00000261824.4	LINC00662	lincRNA	1.023916134	4.034621601	7.06E-08	6.11E-06	0.021399903	1	145	199	182	128	206	209	326	387	268	179	391	182		
ENSG00000269926.1	RP11-442H21.2	antisense	2.250038651	0.110095375	1.23E-07	9.88E-06	0.052700493	1	2	2	5	4	10	7	26	39	25	8	29	8		
ENSG00000255031.3	RP11-802E16.3	antisense	-1.957798641	-0.324626857	2.19E-07	1.63E-05	0.012383822	-1	1	1	4	16	30	29	7	4	6	5	5	9		
ENSG00000267350.3	RP1-178F10.3	processed_transcript	-0.599263667	4.91249132	2.66E-07	1.90E-05	0.006652625	-1	711	971	945	343	458	519	300	240	241	223	365	258		
ENSG00000279164.1	RP4-737E23.5	TEC	1.76402437	-0.14720581	6.10E-07	3.72E-05	0.013890003	1	0	0	0	7	6	10	25	29	17	10	19	11		
ENSG00000248323.3	LUCAT1	lincRNA	1.141877364	0.897575522	9.56E-07	5.42E-05	0.006030302	1	0	0	4	20	21	27	46	45	44	26	36	29		
ENSG00000237021.2	RP3-486I3.7	lincRNA	2.065493519	0.055923221	1.52E-06	7.94E-05	0.038041679	1	3	4	5	5	7	6	14	30	24	12	31	17		
ENSG00000271936.1	RP11-443B20.1	antisense	-1.003885854	1.774729001	1.58E-06	8.17E-05	0.011346645	-1	27	39	39	66	73	98	40	36	30	43	55	31		
ENSG00000275198.1	RP11-471B22.3	lincRNA	1.660154745	0.895862838	3.05E-06	0.000144221	0.00803075	1	43	69	57	8	8	7	21	23	22	13	19	21		
ENSG00000250899.3	RP11-253E3.3	lincRNA	-0.878278134	3.08310631	3.15E-06	0.000147888	0.016500254	-1	62	90	91	139	153	234	95	62	98	124	173	128		
ENSG00000269044.2	CTC-429P9.3	sense_intronic	-1.3416193	1.217777537	4.12E-06	0.000187818	0.023096412	-1	35	36	33	33	62	64	12	18	25	14	31	26		
ENSG00000269927.1	RP6-91H8.3	lincRNA	0.967984457	1.652059318	5.22E-06	0.000226162	0.015120736	1	0	0	0	28	64	44	89	82	67	42	58	40		
ENSG00000263412.1	RP5-890E16.2	processed_transcript	1.988198073	0.434547967	5.35E-06	0.00022971	0.038670773	1	28	19	36	1	8	8	23	24	14	18	26	11		
ENSG00000255455.2	RP11-890B15.3	lincRNA	-1.026765945	1.504380741	5.43E-06	0.00023214	0.013031825	-1	17	27	28	53	64	88	35	32	23	26	36	45		
ENSG00000226312.5	CFLAR-AS1	antisense	1.861950829	-0.386607782	7.29E-06	0.000298856	0.01286128	1	0	1	0	5	5	6	14	22	17	10	16	14		
ENSG00000163597.12	SNHG16	processed_transcript	0.409447362	8.387376553	7.42E-06	0.000303444	0.005765115	1	4351	6365	5347	3401	4145	4850	5557	4920	4346	4218	6162	4786		
ENSG00000260804.3	PKI55	lincRNA	-0.70018097	2.904918871	8.61E-06	0.000344151	0.007966382	-1	108	141	125	115	148	181	84	77	83	60	101	83		
ENSG00000267882.2	RP4-569M23.5	antisense	1.308443586	0.507171984	1.06E-05	0.000404299	0.007844731	1	10	9	12	5	11	19	29	26	23	23	32	26		
