Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000225383.4	SFTA1P	lincRNA	2.308141635	4.375887243	2.97E-55	1.58E-51	0.011268069	1	0	0	1	160	239	299	188	143	121	612	852	761		
ENSG00000279338.1	RP1-309I22.2	sense_overlapping	-1.628873671	2.674706547	9.74E-20	4.84E-17	0.008452266	-1	69	97	112	81	126	113	149	115	116	32	53	38		
ENSG00000224184.3	AC096559.1	lincRNA	-1.297823731	3.091535582	1.01E-16	3.34E-14	0.009592795	-1	0	0	0	131	184	184	245	230	171	77	104	81		
ENSG00000253161.3	RP11-150O12.1	lincRNA	-1.381824574	2.234012256	2.08E-10	1.92E-08	0.016820854	-1	0	1	0	90	111	150	133	92	86	38	55	26		
ENSG00000272565.1	RP11-485G4.2	lincRNA	1.054706716	3.495891513	5.98E-10	5.04E-08	0.012187603	1	260	284	294	96	138	140	90	71	97	148	199	190		
ENSG00000257027.1	RP11-705C15.3	sense_intronic	-0.978986145	3.198142699	2.25E-08	1.25E-06	0.009766662	-1	211	250	237	115	149	132	124	127	108	50	77	56		
ENSG00000269834.3	CTD-3018O17.3	processed_transcript	-1.364160787	1.024861267	8.55E-08	4.19E-06	0.010865308	-1	0	1	0	33	58	44	51	49	39	15	25	14		
ENSG00000258929.4	RP11-58E21.3	lincRNA	-1.14004305	1.672357457	1.53E-07	6.91E-06	0.011314928	-1	7	17	13	53	68	75	66	62	74	22	34	36		
ENSG00000237187.6	NR2F1-AS1	antisense	-0.678857588	4.503004856	1.93E-07	8.33E-06	0.009471134	-1	1	2	4	338	546	479	540	490	422	255	349	301		
ENSG00000204876.4	AC021218.2	lincRNA	-0.980594735	1.623437958	1.48E-06	5.02E-05	0.009172307	-1	0	2	1	51	67	61	82	62	70	33	37	38		
