Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000196754.8	S100A2	protein_coding	-2.468265246	6.09449721	9.42E-82	1.50E-77	0.009828134	-1	15	41	24	1087	1670	1688	2221	1832	1652	304	457	273		
ENSG00000255346.7	NOX5	protein_coding	-2.747862475	3.037136227	6.78E-56	5.39E-52	0.010035937	-1	18	18	24	106	142	149	284	246	255	29	60	29		
ENSG00000241685.6	ARPC1A	protein_coding	-1.434481577	7.30493923	8.40E-46	3.34E-42	0.006483605	-1	2429	3671	3792	2162	2803	2903	2858	2676	2276	844	1178	869		
ENSG00000196154.9	S100A4	protein_coding	-1.688714136	8.203973741	6.93E-42	2.21E-38	0.010371594	-1	19	28	25	4652	8244	6329	8609	7080	6499	1955	2872	2061		
ENSG00000101846.6	STS	protein_coding	-1.910027877	4.197619502	5.35E-38	1.42E-34	0.009476852	-1	152	179	241	315	432	452	409	335	351	77	116	99		
ENSG00000131459.10	GFPT2	protein_coding	-1.276911527	5.644104593	9.13E-35	2.08E-31	0.006331513	-1	58	80	81	752	1004	1070	1369	1150	1142	439	613	460		
ENSG00000134363.9	FST	protein_coding	1.448664775	5.959569397	1.10E-34	2.19E-31	0.008706975	1	11	16	9	828	1184	1408	657	547	594	1429	2083	1425		
ENSG00000029993.12	HMGB3	protein_coding	-1.534568995	8.179611563	1.59E-32	2.81E-29	0.011169625	-1	3293	3822	4202	4548	8639	7308	5171	4452	4587	1338	1791	1763		
ENSG00000180667.8	YOD1	protein_coding	1.497883979	6.380010007	6.70E-31	1.07E-27	0.01100874	1	23	29	23	764	833	1152	1028	908	830	1983	2837	2974		
ENSG00000139629.13	GALNT6	protein_coding	-1.460354618	6.360797649	1.79E-29	2.58E-26	0.010085886	-1	1764	2688	2840	928	1701	1519	1000	1008	921	297	457	321		
ENSG00000197956.7	S100A6	protein_coding	-1.510660275	11.20470596	1.53E-27	2.03E-24	0.013274415	-1	419	841	611	38577	60391	55038	65466	54477	51099	18563	26062	15461		
ENSG00000085117.9	CD82	protein_coding	-1.636973441	5.564060337	2.05E-26	2.51E-23	0.014778372	-1	12	32	14	949	1323	1288	1104	1016	1043	302	489	243		
ENSG00000163235.13	TGFA	protein_coding	-1.039546124	6.247482862	2.47E-26	2.81E-23	0.006002969	-1	106	134	122	1123	1399	1558	1985	1727	1670	688	1072	873		
ENSG00000147454.11	SLC25A37	protein_coding	-0.974627491	6.657808443	1.72E-25	1.82E-22	0.005528792	-1	234	315	325	1597	2328	2383	2327	2042	1975	908	1320	1011		
ENSG00000134955.9	SLC37A2	protein_coding	-1.35799126	6.915381544	2.66E-25	2.64E-22	0.011346458	-1	3	12	13	2122	3006	2963	2980	2926	2471	955	1528	828		
ENSG00000127533.3	F2RL3	protein_coding	-3.375156552	1.339319439	1.02E-24	9.55E-22	0.018888257	-1	0	1	0	50	83	73	60	79	50	4	8	6		
ENSG00000078401.6	EDN1	protein_coding	1.412411886	4.574892907	5.21E-24	4.43E-21	0.010252371	1	333	424	362	285	307	392	223	166	169	435	547	491		
ENSG00000089723.7	OTUB2	protein_coding	-1.156200866	5.61071833	5.29E-24	4.43E-21	0.008022565	-1	130	208	206	613	875	770	1379	1141	1118	471	683	482		
ENSG00000145337.4	PYURF	protein_coding	-1.078180668	6.213218422	6.50E-24	5.17E-21	0.007058518	-1	735	1058	919	1127	1355	1543	1605	1367	1163	484	815	669		
