Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2
ENSG00000225383.4	SFTA1P	lincRNA	1.845289889	4.375887243	1.31E-38	2.97E-35	0.011268069	1	0	0	1	160	239	299	188	143	121	612	852	761
ENSG00000269751.2	CTC-273B12.8	lincRNA	-1.113600991	3.58123481	5.83E-13	5.42E-11	0.011360934	-1	99	164	149	205	368	329	145	129	123	110	158	104
ENSG00000256802.2	RP11-680F8.1	antisense	-1.492986224	2.094921492	6.30E-13	5.80E-11	0.015632236	-1	1	5	4	102	129	141	73	86	51	28	58	34
ENSG00000279338.1	RP1-309I22.2	sense_overlapping	-1.226145714	2.674706547	3.08E-11	2.08E-09	0.008452266	-1	69	97	112	81	126	113	149	115	116	32	53	38
ENSG00000253161.3	RP11-150O12.1	lincRNA	-1.403111447	2.234012256	6.64E-11	4.19E-09	0.016820854	-1	0	1	0	90	111	150	133	92	86	38	55	26
ENSG00000273270.1	RP11-212P7.2	lincRNA	-1.23590279	3.44015244	3.71E-10	2.04E-08	0.012474241	-1	396	541	521	91	125	125	39	42	59	42	55	33
ENSG00000203706.6	SERTAD4-AS1	antisense	-0.91699427	3.143531853	4.89E-10	2.64E-08	0.008511247	-1	5	7	14	159	253	257	183	147	136	88	131	98
ENSG00000117242.7	PINK1-AS	antisense	-1.170536673	2.313380486	1.13E-09	5.72E-08	0.006605263	-1	99	152	135	65	92	91	56	47	43	28	43	28
ENSG00000214194.6	LINC00998	lincRNA	0.799041485	5.561584849	1.63E-09	7.95E-08	0.011067222	1	548	608	559	425	594	637	789	677	645	676	904	985
ENSG00000225684.3	FAM225B	lincRNA	-1.311103385	1.375304493	2.07E-09	9.72E-08	0.007826543	-1	0	3	1	51	69	83	51	48	46	20	24	29
ENSG00000260336.1	RP11-395B7.7	sense_overlapping	-1.245211587	3.421295195	2.43E-09	1.12E-07	0.022159461	-1	277	267	353	175	188	240	65	61	83	49	91	91
ENSG00000251602.4	RP11-521B24.3	antisense	-2.195111612	0.699767555	6.94E-09	2.82E-07	0.01498537	-1	28	43	60	21	30	32	18	10	11	4	6	6
ENSG00000225733.3	FGD5-AS1	antisense	-0.554466112	7.91080196	1.60E-08	5.97E-07	0.006521634	-1	5407	6503	6211	2860	3740	4115	3282	2671	2599	1774	2481	2283
ENSG00000257027.1	RP11-705C15.3	sense_intronic	-0.970426109	3.198142699	1.77E-08	6.54E-07	0.009766662	-1	211	250	237	115	149	132	124	127	108	50	77	56
ENSG00000231528.2	FAM225A	lincRNA	-1.359362903	1.663218937	3.50E-08	1.21E-06	0.017952326	-1	15	34	38	58	88	72	69	38	44	23	27	26
ENSG00000260896.3	RP11-314O13.1	lincRNA	0.906218424	2.757077003	4.39E-08	1.46E-06	0.009468154	1	11	12	18	63	73	98	147	157	140	114	151	128
ENSG00000273230.1	RP11-1246C19.1	lincRNA	-1.644383563	0.772690737	4.72E-08	1.55E-06	0.015415735	-1	14	38	31	29	49	49	11	15	9	10	11	15
ENSG00000250072.3	CTC-529P8.1	lincRNA	-1.374796881	1.219376623	1.14E-07	3.41E-06	0.01798445	-1	0	0	0	49	60	73	57	51	27	14	25	24
ENSG00000196756.9	SNHG17	processed_transcript	0.688150373	4.17425058	1.29E-07	3.80E-06	0.008707866	1	92	136	153	180	246	295	329	290	275	315	414	307
ENSG00000253414.2	RP11-150O12.6	sense_intronic	-1.083367877	1.353407759	1.66E-07	4.78E-06	0.005601938	-1	3	7	2	51	67	76	49	42	40	25	31	26
ENSG00000261786.1	RP4-555D20.2	lincRNA	-1.272616166	1.716428312	3.32E-07	8.61E-06	0.027716329	-1	0	1	0	82	115	146	30	23	24	29	35	61
ENSG00000224184.3	AC096559.1	lincRNA	-0.772856554	3.091535582	1.36E-06	2.96E-05	0.009592795	-1	0	0	0	131	184	184	245	230	171	77	104	81
ENSG00000270172.1	RP5-1024G6.8	lincRNA	-1.065133267	2.448234834	1.38E-06	3.00E-05	0.014820765	-1	157	154	180	55	94	102	49	34	43	25	43	39
ENSG00000163597.12	SNHG16	processed_transcript	0.440501063	8.387376553	1.43E-06	3.09E-05	0.005765115	1	4351	6365	5347	3401	4145	4850	5557	4920	4346	4218	6162	4786
ENSG00000233117.2	LINC00702	lincRNA	-0.846165021	2.393081602	1.53E-06	3.27E-05	0.010937518	-1	0	0	0	92	159	151	88	90	93	54	83	63
ENSG00000278948.1	RP5-1039K5.12	TEC	-1.297732952	1.23792649	1.55E-06	3.32E-05	0.016935833	-1	41	59	46	35	54	55	17	15	24	8	30	15
ENSG00000177234.7	C10orf85	lincRNA	-1.567061021	0.278260608	1.73E-06	3.65E-05	0.013511625	-1	0	0	0	28	25	40	24	19	24	10	11	7
ENSG00000250508.1	RP11-757G1.6	lincRNA	-1.215723277	0.553110224	1.74E-06	3.66E-05	0.008246078	-1	0	0	1	31	55	49	16	13	16	13	22	17
ENSG00000260065.1	CTA-445C9.15	lincRNA	-1.010114849	1.686734335	1.91E-06	3.97E-05	0.011218133	-1	12	7	9	72	77	84	65	48	53	31	35	38
ENSG00000255031.3	RP11-802E16.3	antisense	-1.800101984	-0.324626857	2.02E-06	4.18E-05	0.012383822	-1	1	1	4	16	30	29	7	4	6	5	5	9
ENSG00000116652.6	DLEU2L	sense_intronic	1.240885837	1.284075351	3.48E-06	6.70E-05	0.019722733	1	28	27	21	17	27	27	38	42	23	32	63	57
ENSG00000267882.2	RP4-569M23.5	antisense	1.360284322	0.507171984	3.99E-06	7.47E-05	0.007844731	1	10	9	12	5	11	19	29	26	23	23	32	26
