Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000117519.13	CNN3	protein_coding	4395.666101	10.26765283	8781.06455	855.2163472	9.74014562	0	0
ENSG00000163814.5	CDCP1	protein_coding	1926.378834	2.118137186	3850.63953	1817.936796	10.82808633	0	0
ENSG00000169908.8	TM4SF1	protein_coding	3733.84195	14.20750599	7453.476394	524.6153969	9.03511634	0	0
ENSG00000163453.9	IGFBP7	protein_coding	3072.854254	5.127350389	6140.581158	1197.612937	10.225946	0	0
ENSG00000163297.14	ANTXR2	protein_coding	2668.24618	12.21782854	5324.274531	435.7791169	8.767453252	0	0
ENSG00000069122.16	GPR116	protein_coding	3019.45698	4.693036147	6034.220924	1285.781898	10.32843023	0	0
ENSG00000153292.13	GPR110	protein_coding	1640.26811	2.911405318	3277.624815	1125.787878	10.1367193	0	0
ENSG00000272398.3	CD24	protein_coding	8669.643619	17269.4571	69.83013755	0.004043563	-7.9501572	0	0
ENSG00000091831.19	ESR1	protein_coding	3624.026527	7242.605093	5.447961051	0.00075221	-10.37657661	0	0
ENSG00000006468.11	ETV1	protein_coding	1861.365726	1.954277862	3720.777174	1903.914098	10.89475267	0	0
ENSG00000070882.10	OSBPL3	protein_coding	1555.735792	1.910090565	3109.561494	1627.965475	10.66885439	0	0
ENSG00000135046.11	ANXA1	protein_coding	6356.558006	51.52169784	12661.59431	245.7526604	7.941063225	0	0
ENSG00000026025.11	VIM	protein_coding	26262.21138	57.80380879	52466.61896	907.6671599	9.82601955	0	0
ENSG00000197467.11	COL13A1	protein_coding	1354.564306	1.364954194	2707.763658	1983.77621	10.95403357	4.69426634844525e-312	0.00E+00
ENSG00000148677.6	ANKRD1	protein_coding	5274.831805	23.65546537	10526.00814	444.9715099	8.797569158	0	0
ENSG00000151892.12	GFRA1	protein_coding	10461.59187	20896.62308	26.56064994	0.00127105	-9.619763655	0	0
ENSG00000134954.12	ETS1	protein_coding	1252.126807	0.460863933	2503.792751	5432.824245	12.40748666	3.16183239313218e-312	0.00E+00
ENSG00000134531.7	EMP1	protein_coding	3610.332076	8.925146173	7211.739006	808.0247501	9.658255674	0	0
ENSG00000111716.10	LDHB	protein_coding	7735.930358	12.0358104	15459.82491	1284.48558	10.32697498	0	0
ENSG00000157227.10	MMP14	protein_coding	3289.956472	7.055140748	6572.857804	931.6409182	9.863630195	4.54821194134774e-312	0.00E+00
ENSG00000039068.16	CDH1	protein_coding	6282.153138	12540.67609	23.63019111	0.001884284	-9.051768116	0	0
ENSG00000167601.9	AXL	protein_coding	7975.279824	11.33560242	15939.22405	1406.120598	10.45750462	0	0
