Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000255248.4	RP11-166D19.1	sense_overlapping	481.8171014	0.239281864	963.3949209	4026.192814	11.97520055	1.38E-215	3.63E-213
ENSG00000231298.4	LINC00704	lincRNA	384.0293271	1.577686366	766.4809678	485.8259438	8.924295724	3.80E-195	7.09E-193
ENSG00000227051.5	C14orf132	lincRNA	498.0843932	995.4668527	0.701933595	0.00070513	-10.46982301	4.50E-183	7.04E-181
ENSG00000237187.6	NR2F1-AS1	antisense	265.1782581	1.74154569	528.6149706	303.5320713	8.24570515	1.82E-157	2.09E-155
ENSG00000272620.1	AFAP1-AS1	antisense	222.6280562	0.793268132	444.4628442	560.2933314	9.130038511	2.39E-152	2.50E-150
ENSG00000235123.3	DSCAM-AS1	antisense	3613.954202	7224.749334	3.159069366	0.000437257	-11.1592322	3.35E-137	2.86E-135
ENSG00000259974.2	LINC00261	lincRNA	265.2788767	0	530.5577535	Inf	Inf	1.54E-132	1.24E-130
ENSG00000232774.5	FLJ22447	lincRNA	158.282604	4.103650291	312.4615576	76.14234535	6.250627104	1.36E-105	7.34E-104
ENSG00000269728.1	RP11-145M9.4	lincRNA	355.5359443	37.04842248	674.0234661	18.19304092	4.1853148	4.11E-104	2.17E-102
ENSG00000224184.3	AC096559.1	lincRNA	117.2765317	0	234.5530634	Inf	Inf	1.39E-103	7.29E-102
ENSG00000249550.4	LINC01234	lincRNA	122.2316898	1.577686366	242.8856933	153.950556	7.266323268	4.50E-101	2.27E-99
ENSG00000232803.1	SLCO4A1-AS1	antisense	107.5390101	0.460863933	214.6171562	465.6844258	8.863208824	8.35E-96	3.98E-94
ENSG00000256151.1	RP11-76C10.5	lincRNA	109.3971471	1.679658598	217.1146356	129.26117	7.014145145	5.26E-93	2.41E-91
ENSG00000225383.4	SFTA1P	lincRNA	81.79957731	0.239281864	163.3598728	682.7089614	9.415126879	1.02E-91	4.54E-90
ENSG00000227036.4	LINC00511	lincRNA	254.611922	27.46725562	481.7565884	17.53930553	4.13251972	7.21E-90	3.11E-88
ENSG00000270069.1	MIR222HG	lincRNA	109.9517371	3.52786207	216.3756121	61.33335368	5.938599934	3.70E-86	1.50E-84
ENSG00000280002.1	RP11-76C10.6	TEC	93.05235994	1.356104297	184.7486156	136.2348132	7.089951604	2.21E-85	8.87E-84
ENSG00000240476.1	LINC00973	lincRNA	84.56354611	0.239281864	168.8878104	705.811162	9.463138435	5.72E-84	2.22E-82
ENSG00000237523.1	LINC00857	lincRNA	81.69859101	0.469713831	162.9274682	346.865384	8.438232061	7.14E-81	2.62E-79
ENSG00000126005.13	MMP24-AS1	antisense	409.7838108	71.36947512	748.1981465	10.48344751	3.390041324	2.41E-78	8.55E-77
ENSG00000205181.5	LINC00654	lincRNA	78.2720661	0.239281864	156.3048503	653.2248112	9.351435779	5.26E-78	1.85E-76
ENSG00000248663.4	LINC00992	lincRNA	115.4256669	230.8513339	0	0	#NAME?	4.56E-76	1.56E-74
ENSG00000272016.1	RP11-215G15.5	lincRNA	99.932958	4.998890654	194.8670254	38.98205399	5.284738204	7.82E-76	2.65E-74
ENSG00000276170.2	AC124789.1	processed_transcript	72.92324087	0.239281864	145.6071999	608.5174928	9.249154926	1.16E-75	3.91E-74
ENSG00000276483.1	CTC-543D15.7	lincRNA	67.61784733	0.460863933	134.7748307	292.4395271	8.191994514	2.65E-72	8.64E-71
ENSG00000203499.8	FAM83H-AS1	lincRNA	786.2856187	1571.446357	1.124880366	0.000715825	-10.44810573	1.10E-68	3.44E-67
ENSG00000251003.5	ZFPM2-AS1	processed_transcript	85.53031847	3.456541688	167.6040953	48.48895525	5.599584264	3.32E-68	1.03E-66
ENSG00000247134.4	RP11-11N9.4	lincRNA	60.67034008	0	121.3406802	Inf	Inf	2.25E-67	6.88E-66
ENSG00000261116.1	RP3-523K23.2	sense_overlapping	746.2659146	1491.383569	1.148260041	0.000769929	-10.34298624	9.53E-62	2.59E-60
ENSG00000254251.1	RP11-662G23.1	antisense	87.03665235	174.0733047	0	0	#NAME?	2.31E-61	6.25E-60
ENSG00000203706.6	SERTAD4-AS1	antisense	87.89291943	6.580741367	169.2050975	25.71216343	4.684379099	2.90E-61	7.82E-60
ENSG00000253161.3	RP11-150O12.1	lincRNA	56.26187028	0.230431967	112.2933086	487.3165395	8.928715378	6.35E-61	1.69E-59
ENSG00000248890.1	HHIP-AS1	antisense	56.57801511	0.708995694	112.4470345	158.6004477	7.309253033	3.89E-60	1.02E-58
ENSG00000223808.1	RP11-428L9.2	lincRNA	84.58379928	169.1675986	0	0	#NAME?	6.16E-60	1.61E-58
ENSG00000233117.2	LINC00702	lincRNA	49.80542116	0	99.61084232	Inf	Inf	5.94E-59	1.52E-57
ENSG00000255090.3	RP11-820L6.1	lincRNA	51.27864274	0	102.5572855	Inf	Inf	2.98E-58	7.51E-57
ENSG00000260822.1	GS1-358P8.4	sense_overlapping	452.3481606	802.543854	102.1524672	0.127285838	-2.97385618	1.24E-55	2.95E-54
ENSG00000224738.1	AC099850.1	antisense	234.0960981	455.1963871	12.99580915	0.028549895	-5.13037074	6.31E-55	1.47E-53
ENSG00000231131.4	LINC01468	lincRNA	204.5021489	409.0042978	0	0	#NAME?	1.37E-54	3.18E-53
ENSG00000228742.7	RP5-884M6.1	lincRNA	45.03298335	0	90.0659667	Inf	Inf	1.34E-53	3.03E-52
ENSG00000247271.4	ZBED5-AS1	antisense	169.067293	33.44039013	304.6941958	9.111562232	3.187698434	4.67E-53	1.05E-51
ENSG00000222041.8	LINC00152	lincRNA	666.5157744	201.4316933	1131.599856	5.617784554	2.490001297	1.17E-52	2.60E-51
ENSG00000249867.3	RP11-115J23.1	lincRNA	42.39571355	0	84.79142709	Inf	Inf	2.24E-52	4.96E-51
ENSG00000226167.1	AP4B1-AS1	antisense	72.26990189	144.2125849	0.327218933	0.002269004	-8.783725129	3.45E-51	7.45E-50
ENSG00000235884.3	LINC00941	lincRNA	49.76085606	0.562836165	98.95887595	175.8218148	7.457970271	3.71E-50	7.85E-49
ENSG00000235180.1	LINC00601	lincRNA	41.41815509	0	82.83631019	Inf	Inf	1.52E-49	3.18E-48
ENSG00000269927.1	RP6-91H8.3	lincRNA	43.28537266	0	86.57074532	Inf	Inf	2.01E-49	4.20E-48
ENSG00000272327.1	RP11-1002K11.1	lincRNA	65.31526405	0.230431967	130.4000961	565.8941249	9.144388349	2.17E-49	4.53E-48
ENSG00000269416.3	LINC01224	lincRNA	39.40669231	0	78.81338462	Inf	Inf	9.85E-49	2.02E-47
ENSG00000237975.4	FLG-AS1	antisense	43.44599221	0.469713831	86.42227058	183.9891972	7.523477251	1.64E-48	3.37E-47
ENSG00000260896.3	RP11-314O13.1	lincRNA	86.69951993	10.63135446	162.7676854	15.31015507	3.93641699	2.78E-48	5.68E-47
ENSG00000251257.2	CTD-2263F21.1	antisense	38.83891803	0	77.67783607	Inf	Inf	1.28E-47	2.58E-46
ENSG00000232759.1	AC002480.3	antisense	38.87625358	0.323554301	77.42895285	239.3074441	7.902721465	8.24E-46	1.60E-44
ENSG00000172965.12	MIR4435-1HG	lincRNA	857.3896327	297.8577813	1416.921484	4.75704035	2.250064263	1.37E-45	2.65E-44
ENSG00000262160.1	RP11-96D1.11	antisense	189.9129682	376.8983581	2.927578272	0.007767554	-7.008323956	2.13E-45	4.10E-44
ENSG00000226380.5	MIR29B1	lincRNA	129.6506509	28.149826	231.1514758	8.211470857	3.037640664	2.83E-45	5.39E-44
ENSG00000263753.4	LINC00667	lincRNA	119.2844957	24.14281681	214.4261745	8.881572362	3.150815109	6.33E-45	1.19E-43
ENSG00000278730.1	LINC00674	lincRNA	1854.530989	3026.852787	682.2091906	0.225385653	-2.149532415	7.91E-45	1.48E-43
ENSG00000229124.4	VIM-AS1	antisense	63.28355894	6.545341778	120.0217761	18.33697615	4.196683847	5.90E-44	1.08E-42
ENSG00000204054.9	LINC00963	processed_transcript	452.1100505	762.4326582	141.7874427	0.185967169	-2.42688015	8.19E-44	1.49E-42
ENSG00000261716.1	RP11-196G18.22	sense_overlapping	260.2946488	484.549786	36.03951152	0.074377314	-3.748993543	9.20E-44	1.68E-42
ENSG00000273270.1	RP11-212P7.2	lincRNA	214.7438074	377.4570483	52.03056647	0.137844999	-2.858881167	1.30E-43	2.36E-42
ENSG00000218416.4	PP14571	processed_transcript	58.24147599	116.1082373	0.374714662	0.003227287	-8.275462183	1.70E-42	3.00E-41
ENSG00000272695.1	GAS6-AS2	lincRNA	68.11088704	3.049298343	133.1724757	43.67315388	5.448674815	3.94E-42	6.93E-41
ENSG00000204876.4	AC021218.2	lincRNA	39.34127875	0.700145797	77.9824117	111.3802468	6.799349585	1.08E-41	1.88E-40
ENSG00000244219.4	GS1-259H13.2	lincRNA	40.15304494	0	80.30608988	Inf	Inf	5.05E-41	8.60E-40
ENSG00000260761.1	RP11-184E9.2	lincRNA	30.74569059	0	61.49138119	Inf	Inf	1.20E-40	2.02E-39
ENSG00000273812.1	WI2-87327B8.2	lincRNA	35.32885167	0.230431967	70.42727138	305.6315163	8.25564951	1.30E-40	2.19E-39
ENSG00000215256.3	DHRS4-AS1	antisense	207.4204788	364.0352517	50.80570583	0.139562599	-2.841015726	1.79E-40	2.99E-39
ENSG00000278291.1	RP11-172H24.4	antisense	83.74558533	160.0956473	7.395523369	0.046194406	-4.436138026	3.30E-40	5.50E-39
ENSG00000223784.1	RP11-554I8.2	lincRNA	50.33534564	0.239281864	100.4314094	419.7201066	8.713283767	4.19E-40	6.93E-39
ENSG00000233237.4	LINC00472	lincRNA	47.13234671	4.325294548	89.93939887	20.7938206	4.378082954	2.33E-39	3.79E-38
ENSG00000250548.4	RP11-47I22.2	lincRNA	29.72896428	0	59.45792857	Inf	Inf	4.21E-38	6.65E-37
ENSG00000256802.2	RP11-680F8.1	antisense	39.44282559	2.43284159	76.45280958	31.42531347	4.973855231	4.86E-37	7.53E-36
ENSG00000273132.1	RP11-350J20.12	antisense	60.37663191	0.478563728	120.2747001	251.324313	7.973406433	4.29E-36	6.50E-35
ENSG00000267280.3	TBX2-AS1	antisense	142.2730683	283.8442031	0.701933595	0.002472954	-8.659549009	5.58E-36	8.42E-35
ENSG00000278709.1	RP5-1059L7.1	antisense	118.2334024	213.660581	22.80622373	0.106740437	-3.227821275	1.55E-35	2.32E-34
ENSG00000246228.4	CASC8	antisense	59.34121495	9.363624761	109.3188051	11.67483832	3.545330665	3.78E-35	5.59E-34
ENSG00000258168.3	RP11-588H23.3	antisense	28.81016006	0.562836165	57.05748395	101.3749427	6.663557288	6.57E-35	9.65E-34
ENSG00000262074.4	SNORD3B-2	lincRNA	373.9087197	36.23160222	711.5858372	19.63992188	4.295717286	1.23E-33	1.75E-32
ENSG00000205885.5	C1RL-AS1	antisense	25.44948109	0	50.89896217	Inf	Inf	1.51E-33	2.14E-32
ENSG00000249859.5	PVT1	lincRNA	443.0222759	716.9351822	169.1093696	0.235878185	-2.083886096	2.15E-33	3.04E-32
ENSG00000227372.8	TP73-AS1	antisense	23.67512876	0	47.35025752	Inf	Inf	1.34E-32	1.85E-31
ENSG00000250072.3	CTC-529P8.1	lincRNA	24.26517814	0	48.53035628	Inf	Inf	2.07E-32	2.86E-31
ENSG00000249042.3	CTD-2015H6.3	antisense	184.5824751	313.2084929	55.95645728	0.178655619	-2.484746802	4.25E-32	5.79E-31
ENSG00000230487.5	PSMG3-AS1	lincRNA	134.1735393	234.9621461	33.38493252	0.14208643	-2.815159319	4.65E-32	6.33E-31
ENSG00000253746.1	RP11-527N22.2	lincRNA	27.40429532	0.647108602	54.16148205	83.69766969	6.387115551	1.05E-31	1.40E-30
ENSG00000272121.1	RP4-555D20.4	lincRNA	23.15682234	0	46.31364468	Inf	Inf	2.79E-31	3.69E-30
ENSG00000213963.4	AC074286.1	sense_overlapping	24.16858275	0	48.33716549	Inf	Inf	4.45E-31	5.85E-30
ENSG00000234494.5	AC003665.1	antisense	109.8293691	194.5793741	25.07936414	0.128890147	-2.955786113	6.51E-31	8.49E-30
ENSG00000234323.3	RP11-308N19.1	lincRNA	27.43450727	0.562836165	54.30617837	96.48665411	6.5922575	9.90E-31	1.29E-29
ENSG00000269834.3	CTD-3018O17.3	processed_transcript	25.41700697	0.230431967	50.60358196	219.6031336	7.778754831	2.25E-30	2.88E-29
ENSG00000250697.1	CTD-2066L21.3	lincRNA	27.39274678	0.230431967	54.55506159	236.7512736	7.887228376	2.66E-30	3.41E-29
ENSG00000170846.13	AC093323.3	lincRNA	398.5176043	636.4124573	160.6227514	0.252387818	-1.986285818	3.71E-30	4.74E-29
ENSG00000269609.3	RPARP-AS1	processed_transcript	162.4702318	276.008331	48.93213252	0.177284984	-2.49585775	6.79E-30	8.59E-29
ENSG00000233251.5	AC007743.1	antisense	38.77161192	77.14439313	0.398830717	0.005169925	-7.595640969	7.31E-30	9.22E-29
ENSG00000256615.1	RP11-59N23.3	antisense	22.77377981	0	45.54755961	Inf	Inf	1.14E-29	1.43E-28
ENSG00000225684.3	FAM225B	lincRNA	26.97563004	0.930577764	53.02068232	56.97608988	5.832284712	1.71E-29	2.13E-28
ENSG00000163364.7	LINC01116	lincRNA	118.634507	39.22422023	198.0447938	5.049043489	2.336010104	4.57E-29	5.61E-28
ENSG00000234155.1	RP11-30P6.6	lincRNA	23.51991269	0.647108602	46.39271677	71.69231967	6.163746667	5.89E-29	7.21E-28
ENSG00000228065.8	LINC01515	lincRNA	40.15657746	79.18827456	1.124880366	0.014205138	-6.137443345	2.51E-28	2.99E-27
ENSG00000253616.3	RP11-875O11.3	antisense	24.92174608	0.469713831	49.37377833	105.1145934	6.715819168	9.02E-28	1.05E-26
ENSG00000227695.3	DNMBP-AS1	antisense	21.6808138	0.230431967	43.13119564	187.1754004	7.548247031	1.63E-27	1.89E-26
ENSG00000223573.4	TINCR	lincRNA	205.6568812	410.9149316	0.398830717	0.000970592	-10.00884751	1.82E-27	2.10E-26
ENSG00000277496.1	RP11-93B14.9	antisense	33.72251886	3.642786357	63.80225135	17.51468384	4.130493041	1.98E-27	2.28E-26
ENSG00000237870.4	AC073130.1	processed_transcript	27.02009133	0.323554301	53.71662836	166.0204428	7.375217088	2.08E-27	2.39E-26
ENSG00000258297.1	RP11-658F2.8	antisense	73.08506914	134.0617309	12.10840743	0.090319641	-3.468816435	3.02E-27	3.46E-26
ENSG00000231419.4	LINC00689	processed_transcript	32.19539966	64.39079933	0	0	#NAME?	9.63E-27	1.08E-25
ENSG00000230091.4	TMEM254-AS1	antisense	44.56636605	85.87867127	3.254060825	0.037891374	-4.721986746	1.31E-26	1.46E-25
ENSG00000260711.2	RP11-747H7.3	sense_intronic	40.11493051	80.22986102	0	0	#NAME?	1.54E-26	1.71E-25
ENSG00000247240.5	UBL7-AS1	antisense	88.9247068	157.2461912	20.60322235	0.131025255	-2.932083175	2.12E-26	2.35E-25
ENSG00000260912.1	RP11-363E7.4	sense_overlapping	69.6483236	126.4614537	12.83519346	0.101494907	-3.300520763	2.98E-26	3.28E-25
ENSG00000206195.8	DUXAP8	processed_transcript	90.75813149	168.730038	12.78622497	0.075779186	-3.722054543	3.51E-26	3.85E-25
ENSG00000272189.1	RP3-325F22.5	antisense	31.56628255	63.1325651	0	0	#NAME?	3.56E-26	3.91E-25
ENSG00000206337.8	HCP5	sense_overlapping	40.95939289	5.340144749	76.57864103	14.34018077	3.841991305	7.60E-26	8.25E-25
ENSG00000272455.1	RP4-758J18.13	lincRNA	47.72461442	90.83806018	4.611168665	0.050762518	-4.300092556	7.69E-26	8.34E-25
ENSG00000248323.3	LUCAT1	lincRNA	25.20995485	0.957127455	49.46278224	51.67836525	5.691488529	8.00E-26	8.65E-25
ENSG00000249641.2	HOXC13-AS	antisense	32.42046826	64.46622187	0.374714662	0.005812574	-7.426607195	2.63E-25	2.79E-24
ENSG00000242086.6	LINC00969	lincRNA	92.18376083	160.5661933	23.8013284	0.148233747	-2.754054169	3.43E-25	3.63E-24
ENSG00000225205.3	AC093818.1	antisense	22.87489495	1.041399893	44.70839	42.93104917	5.423949525	3.54E-25	3.74E-24
ENSG00000278231.1	RP5-906C1.1	lincRNA	32.42798674	64.52875454	0.327218933	0.005070901	-7.623542146	4.04E-25	4.26E-24
ENSG00000273338.1	RP11-386I14.4	antisense	21.32398335	0.460863933	42.18710276	91.53917177	6.516317334	4.63E-25	4.87E-24
ENSG00000225489.4	RP11-390F4.3	lincRNA	35.62067476	69.78925021	1.452099299	0.020806919	-5.586792815	8.08E-25	8.41E-24
