Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000231298.4	LINC00704	lincRNA	497.7134213	1.577686366	993.8491563	629.9408917	9.299072654	4.26E-213	1.02E-210
ENSG00000255248.4	RP11-166D19.1	sense_overlapping	400.4089763	0.239281864	800.5786707	3345.755745	11.70811641	4.55E-200	9.04E-198
ENSG00000225383.4	SFTA1P	lincRNA	410.4312436	0.239281864	820.6232052	3429.525297	11.74379318	4.05E-196	7.80E-194
ENSG00000227051.5	C14orf132	lincRNA	498.0332532	995.4668527	0.599653664	0.000602384	-10.69702806	1.07E-180	1.66E-178
ENSG00000272620.1	AFAP1-AS1	antisense	286.7543384	0.793268132	572.7154088	721.9695156	9.495794112	3.64E-171	5.10E-169
ENSG00000235123.3	DSCAM-AS1	antisense	3615.0014	7224.749334	5.253466766	0.000727149	-10.42546205	6.17E-131	5.17E-129
ENSG00000259974.2	LINC00261	lincRNA	257.5890323	0	515.1780647	Inf	Inf	2.28E-130	1.89E-128
ENSG00000237187.6	NR2F1-AS1	antisense	167.8043011	1.74154569	333.8670565	191.7073198	7.582761613	2.59E-125	2.03E-123
ENSG00000269728.1	RP11-145M9.4	lincRNA	401.2109974	37.04842248	765.3735724	20.65873581	4.368680068	3.10E-112	2.07E-110
ENSG00000249550.4	LINC01234	lincRNA	135.8996598	1.577686366	270.2216333	171.2771556	7.420188932	1.98E-106	1.20E-104
ENSG00000272016.1	RP11-215G15.5	lincRNA	153.0458869	4.998890654	301.0928831	60.23194023	5.912456827	4.00E-99	2.15E-97
ENSG00000276483.1	CTC-543D15.7	lincRNA	91.69382849	0.460863933	182.926793	396.9214768	8.632709816	2.44E-86	1.07E-84
ENSG00000232774.5	FLJ22447	lincRNA	114.6591646	4.103650291	225.2146789	54.88154764	5.77824926	5.79E-86	2.52E-84
ENSG00000256151.1	RP11-76C10.5	lincRNA	93.84326474	1.679658598	186.0068709	110.7408798	6.791044078	1.18E-84	5.03E-83
ENSG00000280002.1	RP11-76C10.6	TEC	86.12164984	1.356104297	170.8871954	126.0133131	6.97743235	3.62E-81	1.45E-79
ENSG00000237523.1	LINC00857	lincRNA	72.8994238	0.469713831	145.3291338	309.3993072	8.273326156	1.24E-75	4.49E-74
ENSG00000227036.4	LINC00511	lincRNA	205.1532823	27.46725562	382.8393089	13.93802549	3.800954293	8.02E-75	2.87E-73
ENSG00000240476.1	LINC00973	lincRNA	70.43013466	0.239281864	140.6209874	587.6792548	9.198885162	2.85E-74	1.01E-72
ENSG00000248663.4	LINC00992	lincRNA	115.5755803	230.8513339	0.299826832	0.001298788	-9.588618854	2.44E-73	8.47E-72
ENSG00000270069.1	MIR222HG	lincRNA	86.95469286	3.52786207	170.3815236	48.29597083	5.59383093	3.41E-73	1.18E-71
ENSG00000232803.1	SLCO4A1-AS1	antisense	64.50611332	0.460863933	128.5513627	278.9356107	8.12378832	1.63E-70	5.40E-69
ENSG00000203499.8	FAM83H-AS1	lincRNA	786.3321573	1571.446357	1.217957604	0.000775055	-10.33341339	1.33E-67	4.22E-66
ENSG00000248890.1	HHIP-AS1	antisense	64.08455854	0.708995694	127.4601214	179.775593	7.490053358	2.70E-64	8.13E-63
ENSG00000251003.5	ZFPM2-AS1	processed_transcript	78.31745294	3.456541688	153.1783642	44.3154974	5.469739401	4.10E-64	1.23E-62
ENSG00000205181.5	LINC00654	lincRNA	55.14819376	0.239281864	110.0571057	459.9475442	8.845325525	9.45E-64	2.82E-62
ENSG00000247134.4	RP11-11N9.4	lincRNA	52.90117969	0	105.8023594	Inf	Inf	8.24E-63	2.42E-61
ENSG00000276170.2	AC124789.1	processed_transcript	52.25570836	0.239281864	104.2721348	435.7711578	8.767426902	3.65E-62	1.06E-60
ENSG00000224184.3	AC096559.1	lincRNA	48.27500926	0	96.55001851	Inf	Inf	7.83E-62	2.25E-60
ENSG00000260822.1	GS1-358P8.4	sense_overlapping	445.0506428	802.543854	87.55743158	0.109099872	-3.196278688	1.93E-61	5.51E-60
ENSG00000126005.13	MMP24-AS1	antisense	314.2451636	71.36947512	557.1208522	7.806150335	2.964611247	4.49E-61	1.27E-59
ENSG00000223808.1	RP11-428L9.2	lincRNA	84.58379928	169.1675986	0	0	#NAME?	2.60E-59	7.09E-58
ENSG00000254251.1	RP11-662G23.1	antisense	87.18656576	174.0733047	0.299826832	0.001722417	-9.181349759	6.85E-59	1.86E-57
ENSG00000224738.1	AC099850.1	antisense	232.4420486	455.1963871	9.687710008	0.021282484	-5.554189617	2.38E-58	6.38E-57
ENSG00000272327.1	RP11-1002K11.1	lincRNA	94.96796297	0.230431967	189.705494	823.2603171	9.685204877	5.86E-58	1.56E-56
ENSG00000261116.1	RP3-523K23.2	sense_overlapping	747.1201533	1491.383569	2.856737399	0.001915495	-9.028067212	1.21E-56	3.14E-55
ENSG00000204054.9	LINC00963	processed_transcript	432.82404	762.4326582	103.2154217	0.135376444	-2.884951373	1.17E-55	2.98E-54
ENSG00000249867.3	RP11-115J23.1	lincRNA	46.99389241	0	93.98778482	Inf	Inf	6.19E-55	1.55E-53
ENSG00000235884.3	LINC00941	lincRNA	55.86067007	0.562836165	111.158504	197.4970886	7.625687576	8.60E-55	2.15E-53
