Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000174099.8	MSRB3	protein_coding	7.559480178	5.820258976	5.88260986206617e-313	7.0374590613036e-311	0.00779678	1	7	7	7	808	1072	1324	1126	987	945	777	1133	1046		
ENSG00000076706.12	MCAM	protein_coding	7.739725361	5.774624848	4.74942489173009e-317	5.76855721179774e-315	0.00715235	1	3	7	6	725	929	1114	950	824	806	1033	1458	1059		
ENSG00000183044.9	ABAT	protein_coding	-8.55633205	5.0147934	4.12665363935369e-312	4.89993925789229e-310	0.010057877	-1	1813	2682	2372	5	4	5	5	3	1	6	4	4		
ENSG00000134871.15	COL4A2	protein_coding	11.33752789	6.906988171	2.47032822920623e-320	3.04692754118526e-318	0.014295077	1	0	2	2	2390	3277	3321	1414	1620	1734	1712	2696	1575		
ENSG00000065361.12	ERBB3	protein_coding	-5.560944709	6.233169548	1.90214384330717e-317	2.3280777476551e-315	0.008537751	-1	3994	5815	5676	73	77	107	88	77	101	52	71	59		
ENSG00000135480.12	KRT7	protein_coding	5.296156979	8.695726643	1.30375577192484e-315	1.57151955204301e-313	0.008878513	1	165	270	276	5593	7904	8437	8124	7236	6559	6768	10254	6115		
ENSG00000011009.8	LYPLA2	protein_coding	-8.81E-05	4.750625273	0.998568527	1	0.028242832	0	265	699	594	297	442	456	440	364	293	293	462	220		
ENSG00000121903.12	ZSCAN20	protein_coding	-0.009372058	2.740682967	1	1	0.012601659	0	94	147	135	79	103	111	78	85	91	50	104	89		
ENSG00000196449.3	YRDC	protein_coding	-0.000752241	5.081213702	0.998530672	1	0.009475122	0	400	723	619	363	480	512	461	377	324	500	710	491		
ENSG00000132330.14	SCLY	protein_coding	0.017405643	1.000253897	1	1	0.018727092	0	25	52	25	22	24	35	26	22	21	27	31	21		
ENSG00000144560.11	VGLL4	protein_coding	-0.000732577	5.52500823	1	1	0.006975913	0	807	1184	1089	635	933	850	593	522	498	361	488	363		
ENSG00000163638.11	ADAMTS9	protein_coding	-0.006003354	0.688150036	1	1	0.023457559	0	23	37	31	28	25	17	17	22	18	9	16	19		
ENSG00000174640.10	SLCO2A1	protein_coding	0.018712864	0.334179218	1	1	0.061318546	0	19	21	21	6	29	15	23	19	6	13	19	9		
ENSG00000164346.7	NSA2	protein_coding	0.0016537	6.587853838	0.996590839	1	0.009401615	0	1574	1728	1705	1047	1385	1583	1304	1177	1097	1101	1557	1612		
ENSG00000120327.6	PCDHB14	protein_coding	0.008446164	1.751018186	1	1	0.021712269	0	63	67	94	46	77	55	28	39	22	20	40	29		
ENSG00000253485.2	PCDHGA5	protein_coding	0.008449851	0.796243358	1	1	0.026423477	0	33	28	52	23	40	27	17	20	13	12	12	9		
ENSG00000253953.2	PCDHGB4	protein_coding	0.038966369	-0.215564767	1	1	0.056420104	0	13	9	23	7	16	14	13	6	9	11	6	2		
ENSG00000273542.1	HIST1H4K	protein_coding	-0.080095306	0.073560746	1	1	0.053809307	0	7	14	12	10	9	5	25	25	22	18	11	3		
ENSG00000104221.10	BRF2	protein_coding	0.001858198	3.642888835	1	1	0.012012416	0	139	243	244	113	178	202	182	177	146	147	258	162		
ENSG00000165282.11	PIGO	protein_coding	-0.001226569	5.206168381	1	1	0.028461916	0	354	918	912	432	602	631	519	464	428	419	643	309		
ENSG00000110717.8	NDUFS8	protein_coding	-0.000180165	6.31335224	0.999216226	1	0.027598753	0	761	2012	1615	902	1193	1244	1331	1165	998	949	1381	635		
ENSG00000196655.7	TRAPPC4	protein_coding	-0.001448269	6.339500956	0.998154071	1	0.010383991	0	960	1772	1605	879	1201	1287	1326	1162	971	902	1446	866		
ENSG00000065970.6	FOXJ2	protein_coding	-0.006114078	3.312714837	1	1	0.009388956	0	155	224	227	125	180	169	150	102	117	75	122	111		
ENSG00000111325.14	OGFOD2	protein_coding	-0.025560154	0.810255159	1	1	0.020590619	0	13	37	38	20	21	26	26	28	22	11	30	16		
ENSG00000180138.7	CSNK1A1L	protein_coding	0.006383383	3.722328633	1	1	0.008572387	0	184	231	220	135	167	203	222	167	174	172	213	200		
ENSG00000184254.14	ALDH1A3	protein_coding	0.00674912	3.8944829	1	1	0.00859389	0	225	303	236	152	214	244	222	199	169	176	253	207		
ENSG00000135723.11	FHOD1	protein_coding	-0.003431484	4.356230359	0.998925491	1	0.019832553	0	246	556	499	252	355	396	312	259	246	165	270	136		
ENSG00000179761.9	PIPOX	protein_coding	0.063065628	-0.131305121	1	1	0.011696651	0	16	15	15	10	16	12	12	15	9	3	7	8		
ENSG00000132005.6	HGNC:9982	protein_coding	-0.011102574	2.5307499	1	1	0.034197146	0	72	143	150	84	103	90	63	44	55	56	117	40		
ENSG00000161277.10	THAP8	protein_coding	-0.006787826	1.085921604	1	1	0.024830767	0	19	46	51	21	33	36	36	30	22	19	31	11		
ENSG00000104881.12	PPP1R13L	protein_coding	-0.00133524	2.982711991	1	1	0.015181243	0	102	174	136	75	117	133	97	91	81	104	182	90		
