Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000267174.3	CTC-510F12.4	3prime_overlapping_ncrna	0.449740248	0	0.899480497	Inf	Inf	0.255512946	0.686460187
ENSG00000272004.1	RP11-345P4.10	antisense	2.630669883	4.272443532	0.988896234	0.23145917	-2.111170374	0.146220685	0.511497174
ENSG00000226944.1	RP1-120G22.11	antisense	4.846845838	7.276426744	2.417264933	0.332204943	-1.589854554	0.082928053	0.37480576
ENSG00000231789.2	RP11-558F24.4	antisense	4.062051351	5.377316606	2.746786096	0.510809814	-0.969141851	0.274404361	0.711222549
ENSG00000233485.1	RP3-467K16.2	antisense	0.867788015	1.735576029	0	0	#NAME?	0.147620224	0.514301952
ENSG00000272510.1	RP4-680D5.8	antisense	0.494448117	0	0.988896234	Inf	Inf	0.335478588	0.77347192
ENSG00000179743.3	FLJ37453	antisense	11.82867976	13.65877862	9.998580895	0.732025986	-0.450033231	0.457023106	0.874476838
ENSG00000227959.1	RP11-276H7.2	antisense	2.857013044	3.756769186	1.957256902	0.520994718	-0.940659349	0.453714632	0.872035601
ENSG00000227751.1	RP1-20B21.4	antisense	0.930863624	1.861727247	0	0	#NAME?	0.106080592	0.431133351
ENSG00000117242.7	PINK1-AS	antisense	58.57897265	81.06137054	36.09657476	0.44529934	-1.167152623	6.42E-06	0.000351713
ENSG00000249087.4	C1orf213	antisense	13.48847649	9.078579018	17.89837396	1.971495091	0.979290118	0.042178041	0.252275506
ENSG00000260063.1	RP5-968P14.2	antisense	3.958429671	2.992913739	4.923945603	1.64520131	0.718264125	0.385291888	0.818010954
ENSG00000270605.1	RP5-1092A3.4	antisense	1.432473599	0.697279201	2.167667997	3.108751839	1.636335456	0.318900745	0.758388798
ENSG00000197989.11	SNHG12	antisense	158.4421123	147.4420978	169.4421268	1.149211312	0.200644099	0.321225911	0.760492793
ENSG00000229044.1	RP11-266K22.2	antisense	2.24147046	3.404628949	1.078311971	0.31671938	-1.658722945	0.305381661	0.743558491
ENSG00000224066.1	RP4-622L5.7	antisense	2.555790315	4.372281332	0.739299298	0.169087769	-2.564155785	0.06136665	0.316306849
ENSG00000116883.8	RP11-268J15.5	antisense	10.01240119	11.71523118	8.309571205	0.709296391	-0.495539487	0.363481934	0.800398888
ENSG00000228436.2	RP5-864K19.4	antisense	2.015495443	2.762803385	1.2681875	0.459021987	-1.123364834	0.334036065	0.771908071
ENSG00000259943.1	RP1-39G22.7	antisense	54.82171978	52.19520485	57.4482347	1.100642001	0.138345288	0.477587269	0.8885816
