Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000117519.13	CNN3	protein_coding	3717.931883	10.26765283	7425.596114	723.2028814	9.498256615	0	0
ENSG00000169908.8	TM4SF1	protein_coding	3657.704897	14.20750599	7301.202287	513.8975337	9.005336918	0	0
ENSG00000163297.14	ANTXR2	protein_coding	2702.930516	12.21782854	5393.643204	441.4567767	8.786128379	0	0
ENSG00000069122.16	GPR116	protein_coding	2017.079078	4.693036147	4029.465121	858.6051747	9.745851057	0	0
ENSG00000272398.3	CD24	protein_coding	8664.471258	17269.4571	59.48541583	0.003444545	-8.181471011	0	0
ENSG00000091831.19	ESR1	protein_coding	3623.419984	7242.605093	4.234876202	0.000584717	-10.7399732	0	0
ENSG00000006468.11	ETV1	protein_coding	1587.565752	1.954277862	3173.177226	1623.708321	10.66507678	0	0
ENSG00000070882.10	OSBPL3	protein_coding	1534.993348	1.910090565	3068.076605	1606.246668	10.64947775	0	0
ENSG00000135046.11	ANXA1	protein_coding	7766.145226	51.52169784	15480.76875	300.470858	8.231081264	0	0
ENSG00000198121.11	LPAR1	protein_coding	2499.099263	7.972183064	4990.226343	625.954811	9.289914699	0	0
ENSG00000026025.11	VIM	protein_coding	28518.52054	57.80380879	56979.23727	985.7349968	9.945056037	0	0
ENSG00000148677.6	ANKRD1	protein_coding	6446.159234	23.65546537	12868.663	544.0037978	9.087472913	0	0
ENSG00000151892.12	GFRA1	protein_coding	10459.63881	20896.62308	22.65453215	0.001084124	-9.849254407	0	0
ENSG00000134954.12	ETS1	protein_coding	1874.35635	0.460863933	3748.251836	8133.098655	12.9895894	0	0
ENSG00000134531.7	EMP1	protein_coding	2127.824269	8.925146173	4246.723392	475.8155564	8.89425863	0	0
ENSG00000111716.10	LDHB	protein_coding	9838.015071	12.0358104	19663.99433	1633.790636	10.6740074	0	0
ENSG00000060982.12	BCAT1	protein_coding	6176.807802	47.12579068	12306.48981	261.1412909	8.02868678	0	0
ENSG00000039068.16	CDH1	protein_coding	6286.542661	12540.67609	32.40923704	0.002584329	-8.595994355	0	0
ENSG00000167601.9	AXL	protein_coding	10576.6991	11.33560242	21142.0626	1865.102693	10.86503935	0	0
ENSG00000196562.12	SULF2	protein_coding	4440.328992	8873.367004	7.29098064	0.00082167	-10.24915305	0	0
ENSG00000147065.14	MSN	protein_coding	5545.636849	8.929310519	11082.34439	1241.119834	10.2774267	0	0
ENSG00000227234.1	SPANXB2	protein_coding	2675.403611	4.38718164	5346.420041	1218.6457	10.25106303	0	0
