Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000255248.4	RP11-166D19.1	sense_overlapping	420.6443686	0.239281864	841.0494554	3514.890104	11.77926387	3.64E-207	7.74E-205
ENSG00000231298.4	LINC00704	lincRNA	379.0055786	1.577686366	756.4334709	479.4574429	8.905258956	3.55E-195	6.47E-193
ENSG00000227051.5	C14orf132	lincRNA	497.939284	995.4668527	0.411715209	0.00041359	-11.23951082	9.62E-192	1.69E-189
ENSG00000272620.1	AFAP1-AS1	antisense	254.7050068	0.793268132	508.6167454	641.1662401	9.324554654	4.54E-164	5.38E-162
ENSG00000237187.6	NR2F1-AS1	antisense	222.8606271	1.74154569	443.9797085	254.9342869	7.993981608	9.31E-147	8.82E-145
ENSG00000259974.2	LINC00261	lincRNA	325.8838768	0	651.7677535	Inf	Inf	9.78E-144	8.93E-142
ENSG00000235123.3	DSCAM-AS1	antisense	3614.70359	7224.749334	4.657845323	0.000644707	-10.59906909	7.24E-135	5.80E-133
ENSG00000225383.4	SFTA1P	lincRNA	112.5255251	0.239281864	224.8117683	939.526986	9.87579079	6.72E-112	3.99E-110
ENSG00000269728.1	RP11-145M9.4	lincRNA	371.2117909	37.04842248	705.3751593	19.03927649	4.250906751	6.52E-109	3.75E-107
ENSG00000256151.1	RP11-76C10.5	lincRNA	109.8610971	1.679658598	218.0425355	129.8136037	7.020297767	1.39E-94	6.42E-93
ENSG00000280002.1	RP11-76C10.6	TEC	108.7941756	1.356104297	216.2322469	159.4510447	7.31696974	4.25E-94	1.95E-92
ENSG00000270069.1	MIR222HG	lincRNA	119.8348362	3.52786207	236.1418103	66.93623662	6.064715535	2.46E-92	1.11E-90
ENSG00000249550.4	LINC01234	lincRNA	91.49229875	1.577686366	181.4069111	114.982873	6.845275174	1.79E-86	7.26E-85
ENSG00000224184.3	AC096559.1	lincRNA	81.55279213	0	163.1055843	Inf	Inf	2.54E-86	1.03E-84
ENSG00000276483.1	CTC-543D15.7	lincRNA	88.75807677	0.460863933	177.0552896	384.1812665	8.585643362	3.32E-86	1.34E-84
ENSG00000232803.1	SLCO4A1-AS1	antisense	81.14221781	0.460863933	161.8235717	351.1309086	8.455865186	4.68E-83	1.79E-81
ENSG00000232774.5	FLJ22447	lincRNA	104.3518638	4.103650291	204.6000773	49.8580685	5.639755089	3.73E-82	1.41E-80
ENSG00000237523.1	LINC00857	lincRNA	81.86715687	0.469713831	163.2645999	347.5831225	8.441214221	1.24E-81	4.66E-80
ENSG00000248663.4	LINC00992	lincRNA	115.4256669	230.8513339	0	0	#NAME?	6.05E-80	2.21E-78
ENSG00000276170.2	AC124789.1	processed_transcript	75.27263114	0.239281864	150.3059804	628.1545036	9.294975644	1.21E-77	4.25E-76
ENSG00000227036.4	LINC00511	lincRNA	206.8042924	27.46725562	386.1413292	14.05824209	3.813344299	5.56E-77	1.93E-75
ENSG00000272016.1	RP11-215G15.5	lincRNA	96.91720115	4.998890654	188.8355116	37.77548355	5.239378318	1.37E-74	4.58E-73
ENSG00000203706.6	SERTAD4-AS1	antisense	111.6478459	6.580741367	216.7149505	32.93169241	5.041404751	5.64E-74	1.87E-72
ENSG00000126005.13	MMP24-AS1	antisense	376.2442231	71.36947512	681.118971	9.543561444	3.254527748	7.60E-73	2.47E-71
ENSG00000240476.1	LINC00973	lincRNA	66.22595341	0.239281864	132.212625	552.5392641	9.109933177	1.83E-72	5.90E-71
ENSG00000233117.2	LINC00702	lincRNA	64.96558878	0	129.9311776	Inf	Inf	1.14E-70	3.60E-69
ENSG00000205181.5	LINC00654	lincRNA	61.54750141	0.239281864	122.855721	513.4351554	9.004038272	2.74E-69	8.45E-68
ENSG00000203499.8	FAM83H-AS1	lincRNA	786.5334522	1571.446357	1.62054742	0.001031246	-9.921396073	5.50E-68	1.65E-66
ENSG00000254251.1	RP11-662G23.1	antisense	87.03665235	174.0733047	0	0	#NAME?	1.28E-64	3.63E-63
ENSG00000223808.1	RP11-428L9.2	lincRNA	84.58379928	169.1675986	0	0	#NAME?	3.99E-63	1.10E-61
ENSG00000251003.5	ZFPM2-AS1	processed_transcript	72.51270549	3.456541688	141.5688693	40.95679499	5.356030919	3.04E-62	8.34E-61
ENSG00000253161.3	RP11-150O12.1	lincRNA	57.1401618	0.230431967	114.0498916	494.9395402	8.951108492	3.85E-62	1.05E-60
ENSG00000261116.1	RP3-523K23.2	sense_overlapping	746.4611748	1491.383569	1.538780365	0.00103178	-9.920648311	5.99E-61	1.60E-59
ENSG00000224738.1	AC099850.1	antisense	233.1647104	455.1963871	11.13303373	0.02445765	-5.353570424	1.02E-58	2.60E-57
ENSG00000247134.4	RP11-11N9.4	lincRNA	45.18847746	0	90.37695491	Inf	Inf	1.24E-57	3.13E-56
ENSG00000231131.4	LINC01468	lincRNA	204.5021489	409.0042978	0	0	#NAME?	3.59E-56	8.77E-55
ENSG00000226380.5	MIR29B1	lincRNA	157.0559346	28.149826	285.9620432	10.15857232	3.344625756	4.51E-56	1.10E-54
ENSG00000226167.1	AP4B1-AS1	antisense	72.10629243	144.2125849	0	0	#NAME?	7.49E-56	1.82E-54
ENSG00000248890.1	HHIP-AS1	antisense	49.17712047	0.708995694	97.64524526	137.7233261	7.105629119	7.77E-56	1.89E-54
ENSG00000235884.3	LINC00941	lincRNA	56.34429939	0.562836165	112.1257626	199.2156325	7.63818705	1.86E-54	4.39E-53
ENSG00000247271.4	ZBED5-AS1	antisense	168.2609255	33.44039013	303.081461	9.063335079	3.180042023	1.48E-53	3.44E-52
ENSG00000256802.2	RP11-680F8.1	antisense	62.19642457	2.43284159	121.9600076	50.13068177	5.64762195	2.23E-52	5.07E-51
ENSG00000233237.4	LINC00472	lincRNA	64.83175568	4.325294548	125.3382168	28.97796102	4.856884181	1.10E-51	2.45E-50
ENSG00000249867.3	RP11-115J23.1	lincRNA	40.36833942	0	80.73667884	Inf	Inf	1.16E-51	2.59E-50
ENSG00000251257.2	CTD-2263F21.1	antisense	42.54832465	0	85.0966493	Inf	Inf	2.63E-51	5.83E-50
ENSG00000255090.3	RP11-820L6.1	lincRNA	39.70586802	0	79.41173604	Inf	Inf	3.36E-50	7.26E-49
ENSG00000263753.4	LINC00667	lincRNA	131.227729	24.14281681	238.3126413	9.870954294	3.303189567	5.47E-50	1.17E-48
ENSG00000260822.1	GS1-358P8.4	sense_overlapping	461.6545159	802.543854	120.7651779	0.15047798	-2.732375709	1.43E-49	3.04E-48
ENSG00000272327.1	RP11-1002K11.1	lincRNA	62.94729093	0.230431967	125.6641499	545.3416542	9.091016545	7.93E-49	1.66E-47
ENSG00000222041.8	LINC00152	lincRNA	601.6901444	201.4316933	1001.948595	4.974135791	2.314445893	3.22E-46	6.35E-45
ENSG00000278730.1	LINC00674	lincRNA	1852.760931	3026.852787	678.6690739	0.224216082	-2.157038333	1.96E-45	3.77E-44
