Ensembl_ID	Gene_ID	Gene_Type	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSG00000196754.8	S100A2	protein_coding	1224.491284	2072.098855	376.8837133	0.181885006	-2.458901475	5.04E-55	1.17E-50
ENSG00000255346.7	NOX5	protein_coding	164.4170812	286.8118165	42.02234594	0.146515393	-2.770875854	1.87E-35	1.44E-31
ENSG00000197956.7	S100A6	protein_coding	42102.49487	62214.89609	21990.09364	0.353453835	-1.500406298	4.66E-26	2.70E-22
ENSG00000101846.6	STS	protein_coding	253.2529218	399.3515369	107.1543067	0.268320757	-1.89796943	1.78E-25	8.25E-22
ENSG00000085117.9	CD82	protein_coding	765.9310929	1157.940236	373.9219499	0.322919904	-1.630751727	1.01E-24	3.91E-21
ENSG00000134363.9	FST	protein_coding	1232.036655	656.8572047	1807.216106	2.751307427	1.460117354	2.28E-22	6.93E-19
ENSG00000241685.6	ARPC1A	protein_coding	1954.014709	2845.666857	1062.362562	0.3733264	-1.421490563	2.39E-22	6.93E-19
ENSG00000139629.13	GALNT6	protein_coding	732.3727258	1072.254402	392.4910493	0.366042843	-1.44991558	7.11E-21	1.83E-17
ENSG00000196154.9	S100A4	protein_coding	5292.254347	8062.008427	2522.500268	0.312887327	-1.676284869	8.09E-21	1.87E-17
ENSG00000119714.8	GPR68	protein_coding	282.9848559	437.2036781	128.7660336	0.294521844	-1.763553454	1.94E-20	4.07E-17
ENSG00000198959.9	TGM2	protein_coding	10590.68884	15093.61334	6087.764333	0.403333794	-1.309953806	7.17E-20	1.38E-16
ENSG00000134955.9	SLC37A2	protein_coding	2128.581337	3057.038222	1200.124452	0.39257751	-1.348950571	1.03E-19	1.83E-16
ENSG00000142634.10	EFHD2	protein_coding	1132.887382	1622.402458	643.3723065	0.396555308	-1.334406001	1.85E-18	3.06E-15
ENSG00000158292.6	GPR153	protein_coding	395.2373438	580.5572695	209.9174181	0.361579174	-1.467616509	4.15E-18	6.41E-15
ENSG00000127533.3	F2RL3	protein_coding	37.83454502	69.17713011	6.491959936	0.093845465	-3.413569161	7.14E-18	1.03E-14
ENSG00000078401.6	EDN1	protein_coding	374.4343742	202.574847	546.2939013	2.696750901	1.431222266	4.20E-17	5.72E-14
ENSG00000131459.10	GFPT2	protein_coding	945.0615506	1334.349259	555.7738424	0.416513022	-1.263566493	1.10E-16	1.42E-13
ENSG00000011105.9	TSPAN9	protein_coding	686.0713505	973.4199085	398.7227925	0.409610271	-1.287676204	3.69E-16	4.49E-13
ENSG00000114554.9	PLXNA1	protein_coding	3171.689972	4401.860061	1941.519883	0.441068061	-1.180926799	1.13E-15	1.31E-12
ENSG00000029993.12	HMGB3	protein_coding	3500.47697	5189.715274	1811.238665	0.349005402	-1.518678728	1.33E-15	1.47E-12
ENSG00000188015.7	S100A3	protein_coding	221.0093299	324.4147664	117.6038934	0.362510914	-1.463903665	3.47E-15	3.65E-12
ENSG00000157303.8	SUSD3	protein_coding	99.29658986	159.752102	38.84107776	0.243133438	-2.040179775	5.82E-15	5.86E-12
ENSG00000185585.17	OLFML2A	protein_coding	337.0841859	478.8211403	195.3472314	0.407975369	-1.293446041	3.51E-14	3.38E-11
ENSG00000089723.7	OTUB2	protein_coding	962.0326275	1324.677079	599.3881761	0.45247871	-1.144078182	5.70E-14	5.28E-11
ENSG00000170412.14	GPRC5C	protein_coding	828.4085709	1248.331549	408.4855928	0.327225242	-1.611644055	6.16E-14	5.48E-11
ENSG00000168306.10	ACOX2	protein_coding	136.1456209	202.776331	69.51491085	0.342815705	-1.544494892	1.30E-13	1.12E-10
ENSG00000151651.13	ADAM8	protein_coding	840.854054	1175.280515	506.4275929	0.430899335	-1.214577221	1.64E-13	1.35E-10
ENSG00000087253.9	LPCAT2	protein_coding	597.151848	821.2919906	373.0117053	0.454176724	-1.138674325	2.62E-13	2.02E-10
ENSG00000042493.13	CAPG	protein_coding	2675.16235	3604.975623	1745.349076	0.484150036	-1.046473894	6.80E-13	5.08E-10
ENSG00000106541.9	AGR2	protein_coding	919.7151554	586.8938449	1252.536466	2.134178909	1.093681123	9.47E-13	6.85E-10
ENSG00000117228.9	GBP1	protein_coding	594.5751524	813.684034	375.4662708	0.46143989	-1.11578537	1.00E-12	7.03E-10
ENSG00000145337.4	PYURF	protein_coding	1109.364137	1501.261454	717.4668205	0.477909307	-1.065191232	1.11E-12	7.55E-10
ENSG00000140526.14	ABHD2	protein_coding	1597.938317	2149.164769	1046.711865	0.48703193	-1.037911736	1.21E-12	8.03E-10
ENSG00000114812.10	VIPR1	protein_coding	184.1717603	264.6744773	103.6690433	0.391685078	-1.352233927	2.03E-12	1.30E-09
ENSG00000173432.8	SAA1	protein_coding	84.63272241	132.2077829	37.05766195	0.280298642	-1.834963342	2.08E-12	1.30E-09
ENSG00000172794.17	RAB37	protein_coding	328.5706142	457.7166861	199.4245423	0.435694281	-1.19861192	2.86E-12	1.74E-09
ENSG00000157240.3	FZD1	protein_coding	766.9428889	1035.796929	498.0888487	0.480875	-1.056266169	3.25E-12	1.88E-09
ENSG00000141753.6	IGFBP4	protein_coding	13824.4278	18417.13635	9231.719252	0.50125704	-0.996377501	3.65E-12	2.06E-09
ENSG00000163235.13	TGFA	protein_coding	1463.144642	1962.7091	963.5801835	0.490943963	-1.026369732	4.62E-12	2.55E-09
ENSG00000167680.13	SEMA6B	protein_coding	1230.536939	1675.691551	785.3823269	0.468691465	-1.093289573	5.10E-12	2.75E-09
ENSG00000143816.7	WNT9A	protein_coding	73.90037436	112.3430135	35.45773526	0.315620297	-1.66373811	5.85E-12	3.08E-09
ENSG00000115806.10	GORASP2	protein_coding	592.8736486	801.6960645	384.0512326	0.479048419	-1.061756612	6.34E-12	3.26E-09
ENSG00000107984.7	DKK1	protein_coding	5930.929667	3997.953404	7863.90593	1.966982887	0.975984406	7.59E-12	3.82E-09
ENSG00000177706.8	FAM20C	protein_coding	665.9936222	903.870581	428.1166635	0.473648189	-1.078112228	8.14E-12	4.01E-09
ENSG00000203805.8	PPAPDC1A	protein_coding	555.7783283	753.3768159	358.1798407	0.475432524	-1.072687496	9.31E-12	4.49E-09
ENSG00000138131.3	LOXL4	protein_coding	561.1898235	761.6644946	360.7151524	0.473587984	-1.078295618	9.51E-12	4.50E-09
ENSG00000165424.6	ZCCHC24	protein_coding	804.225741	1083.008689	525.4427926	0.485169508	-1.043439213	1.30E-11	6.04E-09
ENSG00000101333.14	PLCB4	protein_coding	53.45667649	18.71446606	88.19888693	4.712872206	2.236606562	1.41E-11	6.42E-09
ENSG00000150938.7	CRIM1	protein_coding	6640.703533	4533.404607	8748.002459	1.929676086	0.948358698	2.07E-11	9.22E-09
ENSG00000148344.10	PTGES	protein_coding	1428.628848	1900.540214	956.7174814	0.50339239	-0.990244687	2.69E-11	1.17E-08
ENSG00000165474.5	GJB2	protein_coding	404.1883703	554.7617182	253.6150224	0.45716028	-1.129228033	3.08E-11	1.32E-08
ENSG00000106799.10	TGFBR1	protein_coding	2530.16172	3329.685541	1730.637899	0.519760163	-0.944082033	3.74E-11	1.57E-08
ENSG00000071575.9	TRIB2	protein_coding	1223.9392	1661.042173	786.8362272	0.473700331	-1.077953415	4.00E-11	1.65E-08
ENSG00000074410.11	CA12	protein_coding	287.2546313	390.6852722	183.8239904	0.470516816	-1.087681809	4.31E-11	1.75E-08
ENSG00000211448.9	DIO2	protein_coding	47.82826261	19.57554258	76.08098265	3.88653251	1.958483584	4.54E-11	1.81E-08
ENSG00000141905.15	NFIC	protein_coding	129.4006111	185.736734	73.06448823	0.393376618	-1.346016888	4.64E-11	1.82E-08
ENSG00000147454.11	SLC25A37	protein_coding	1751.316558	2314.296462	1188.336655	0.513476417	-0.961630077	4.82E-11	1.86E-08
ENSG00000174600.11	CMKLR1	protein_coding	312.233413	430.8425584	193.6242676	0.449408406	-1.153900984	5.11E-11	1.94E-08
ENSG00000148926.7	ADM	protein_coding	332.2984415	208.6431038	455.9537791	2.185328778	1.127850346	5.51E-11	2.06E-08
ENSG00000136830.9	FAM129B	protein_coding	15026.64102	19746.16503	10307.11701	0.521980699	-0.937931634	6.37E-11	2.34E-08
ENSG00000070814.15	TCOF1	protein_coding	721.5476403	489.9171933	953.1780874	1.945590195	0.960207863	6.64E-11	2.38E-08
ENSG00000131018.20	SYNE1	protein_coding	997.4417599	662.8273587	1332.056161	2.009657785	1.006949852	6.69E-11	2.38E-08
ENSG00000112414.12	GPR126	protein_coding	2228.626999	1525.349505	2931.904492	1.922119804	0.942698261	8.16E-11	2.86E-08
ENSG00000187098.12	MITF	protein_coding	459.3248399	295.4085127	623.2411672	2.10976035	1.077079131	8.76E-11	3.03E-08
ENSG00000175130.6	MARCKSL1	protein_coding	1730.225833	2311.905903	1148.545763	0.496796068	-1.009274339	1.18E-10	3.97E-08
ENSG00000150556.14	LYPD6B	protein_coding	45.53087814	69.35881982	21.70293647	0.312908099	-1.676189094	1.31E-10	4.20E-08
ENSG00000078177.11	N4BP2	protein_coding	623.4140825	342.6190627	904.2091023	2.639109147	1.400051018	1.31E-10	4.20E-08
ENSG00000172379.16	ARNT2	protein_coding	362.487836	489.0675955	235.9080765	0.482362926	-1.051809067	1.29E-10	4.20E-08
ENSG00000186815.10	TPCN1	protein_coding	503.1831844	676.2006163	330.1657525	0.488265974	-1.034260851	1.39E-10	4.41E-08
ENSG00000163904.10	SENP2	protein_coding	539.779905	715.9767263	363.5830838	0.50781411	-0.977627614	1.84E-10	5.77E-08
ENSG00000242265.3	PEG10	protein_coding	2204.528367	1527.103069	2881.953664	1.887203112	0.916249703	2.25E-10	6.93E-08
ENSG00000163293.9	NIPAL1	protein_coding	335.2409029	213.9142239	456.5675819	2.13434887	1.093796011	2.35E-10	7.15E-08
ENSG00000172795.13	DCP2	protein_coding	3183.899329	2216.204669	4151.59399	1.873289976	0.905574239	2.81E-10	8.46E-08
ENSG00000162496.6	DHRS3	protein_coding	286.8405949	413.9070331	159.7741567	0.386014597	-1.37327269	3.07E-10	9.11E-08
ENSG00000088280.16	ASAP3	protein_coding	387.1865243	519.895292	254.4777567	0.489478864	-1.030681532	3.11E-10	9.11E-08
ENSG00000115758.10	ODC1	protein_coding	2844.62294	1989.151977	3700.093902	1.860136352	0.895408378	3.89E-10	1.13E-07
ENSG00000189067.10	LITAF	protein_coding	1206.75485	1578.735642	834.7740572	0.528761139	-0.919311943	4.46E-10	1.27E-07
ENSG00000154803.10	FLCN	protein_coding	449.8074164	602.3968536	297.2179793	0.493392317	-1.019192845	4.60E-10	1.30E-07
ENSG00000143786.5	CNIH3	protein_coding	314.8839293	429.4552777	200.3125809	0.466434088	-1.100254866	4.70E-10	1.31E-07
ENSG00000121236.17	TRIM6	protein_coding	223.810731	138.4754803	309.1459817	2.232496186	1.15865771	4.87E-10	1.34E-07
ENSG00000118523.5	CTGF	protein_coding	3233.1754	2292.63674	4173.714061	1.820486424	0.864323983	5.15E-10	1.40E-07
ENSG00000106538.7	RARRES2	protein_coding	60.20329912	90.63608129	29.77051696	0.328462093	-1.606201213	7.18E-10	1.93E-07
ENSG00000074527.9	NTN4	protein_coding	1221.914304	845.9215394	1597.90707	1.888954229	0.917587745	7.27E-10	1.94E-07
ENSG00000146411.5	SLC2A12	protein_coding	418.5112239	558.1233583	278.8990895	0.499708685	-1.000840802	1.01E-09	2.65E-07
ENSG00000143499.11	SMYD2	protein_coding	1059.702468	1377.546341	741.8585957	0.538536217	-0.892884723	1.71E-09	4.46E-07
ENSG00000114166.7	KAT2B	protein_coding	537.6766443	706.747352	368.6059366	0.521552625	-0.939115266	1.91E-09	4.92E-07
ENSG00000070731.7	ST6GALNAC2	protein_coding	65.13542546	94.31392178	35.95692913	0.381247312	-1.39120093	2.11E-09	5.36E-07
ENSG00000134668.10	SPOCD1	protein_coding	43.46117249	67.93461499	18.98772999	0.279500075	-1.839079424	2.48E-09	6.25E-07
ENSG00000100628.9	ASB2	protein_coding	119.1906248	195.9905295	42.3907202	0.216289636	-2.208963561	2.53E-09	6.30E-07
ENSG00000117525.11	F3	protein_coding	5590.241659	4001.227607	7179.25571	1.794263265	0.843391586	2.90E-09	7.15E-07
ENSG00000240682.7	ISY1	protein_coding	181.8148732	246.4961745	117.1335719	0.475194279	-1.073410628	3.81E-09	9.28E-07
ENSG00000164045.9	CDC25A	protein_coding	996.2810746	698.3031255	1294.259024	1.853434385	0.890201042	5.86E-09	1.41E-06
ENSG00000182240.13	BACE2	protein_coding	1247.854758	1606.213762	889.495754	0.553784169	-0.852604282	6.09E-09	1.45E-06
ENSG00000146674.12	IGFBP3	protein_coding	1327.951044	942.3333005	1713.568788	1.818431746	0.862694776	6.31E-09	1.49E-06
ENSG00000136153.17	LMO7	protein_coding	2820.431257	2003.031723	3637.830791	1.816162344	0.860893169	6.72E-09	1.57E-06
ENSG00000041982.12	TNC	protein_coding	564.7026036	741.6329241	387.7722832	0.522862821	-0.935495605	7.93E-09	1.84E-06
ENSG00000221838.7	AP4M1	protein_coding	341.7552989	451.9233754	231.5872224	0.512447983	-0.964522525	8.65E-09	1.98E-06
ENSG00000150977.10	RILPL2	protein_coding	301.2908452	400.5797019	202.0019884	0.504274149	-0.987719825	8.81E-09	2.00E-06
ENSG00000182901.13	RGS7	protein_coding	40.70505925	16.39382992	65.01628857	3.965899908	1.987648267	9.34E-09	2.10E-06
ENSG00000167074.12	TEF	protein_coding	143.4520167	196.5913875	90.31264589	0.459392688	-1.122200202	9.43E-09	2.10E-06
ENSG00000104368.15	PLAT	protein_coding	2780.040434	3668.986741	1891.094127	0.515426809	-0.956160518	9.94E-09	2.17E-06
ENSG00000134531.7	EMP1	protein_coding	5871.589586	7496.45578	4246.723392	0.566497491	-0.819858528	9.90E-09	2.17E-06
ENSG00000156804.5	FBXO32	protein_coding	548.1456313	777.8178497	318.4734129	0.409444722	-1.288259406	1.05E-08	2.26E-06
ENSG00000168502.15	MTCL1	protein_coding	1434.984891	1030.091881	1839.877901	1.786129893	0.836837001	1.16E-08	2.47E-06
ENSG00000197457.7	STMN3	protein_coding	377.5058033	550.799235	204.2123715	0.370756455	-1.431456286	1.40E-08	2.95E-06
ENSG00000180667.8	YOD1	protein_coding	1943.670747	1007.651471	2879.690023	2.85782347	1.514916803	1.57E-08	3.28E-06
ENSG00000077420.13	APBB1IP	protein_coding	198.4361775	129.7529527	267.1194023	2.058676867	1.0417174	1.68E-08	3.47E-06
